index,NAME,RA,DEC,LAMBDA,Z_SPEC,pix
456,RMJ141438.9+270311.1,213.66222695393373,27.05307400199557,133.40896999999998,0.47714463,3
457,RMJ143319.1+084231.5,218.32954758989132,8.708736379291974,77.3927,0.33786514,2
458,RMJ171405.8+290557.1,258.5240883814976,29.09920642572341,87.11011500000002,0.41789615,0
459,RMJ111111.2+004507.8,167.79671716582675,0.7521700226063611,59.31555,0.1846916,9
460,RMJ120143.7-001104.2,180.43195738656345,-0.1844866106875251,52.283012,0.16692387,14
461,RMJ151150.6+145104.5,227.96089021683545,14.851254338610921,49.598137,0.1858382,2
462,RMJ233349.4-023736.8,353.4558621786936,-2.626884049330544,68.40751999999999,0.41250935,33
463,RMJ135002.0+194847.9,207.50812631474057,19.813292518390238,60.29187,0.30458787,3
464,RMJ154736.7+331857.8,236.90287606378186,33.316054064128785,47.38616,0.11433134,3
465,RMJ100347.3+305258.9,150.9471033450137,30.883016965916386,65.09719,0.32960996,10
466,RMJ103019.2+140355.0,157.5801737220623,14.06527341519016,74.128136,0.32035115,11
467,RMJ144821.3+204438.0,222.08884770170533,20.74388411227675,115.60641,0.49859998,3
468,RMJ145847.9+192714.8,224.69975876593742,19.454115173337176,65.55484,0.22208312,3
469,RMJ003507.0-105752.0,8.779142972053975,-10.964435880178454,105.70593,0.455076,36
470,RMJ082850.7+322744.3,127.21142247807852,32.462316564620394,68.849915,0.28073555,10
471,RMJ131419.7-012726.0,198.58208965726746,-1.4572347972224349,45.799644,0.18015595,15
472,RMJ164122.9+380209.5,250.3455148661405,38.035960933825415,47.18785,0.16256532,1
473,RMJ224531.4-095355.5,341.38086967692317,-9.898745138354878,129.5342,0.44019833,32
474,RMJ150538.1+470617.5,226.4085894835304,47.10485712693426,60.55121,0.26645926,1
475,RMJ142114.0+095038.0,215.3081334160712,9.843884432748998,57.195114,0.22550505,13
476,RMJ093909.5+374001.6,144.78961336836338,37.667112081761616,39.697655,0.1489206,10
477,RMJ120709.5+042444.8,181.7894291951728,4.412437405775712,56.218796,0.23535469,15
478,RMJ072526.0+403403.7,111.35815522801356,40.567699114572406,47.84381,0.20094943,27
479,RMJ171826.4+300450.2,259.60990135302336,30.080620241056856,62.35129499999999,0.27406704,0
480,RMJ093515.6+080559.7,143.81498863426202,8.09992943850747,52.40505200000001,0.3797817,8
481,RMJ163403.7+251734.9,248.5155338353017,25.29301793281838,56.356087,0.26978973,0
482,RMJ004525.1+100754.8,11.354714018156756,10.131888657226716,58.385002,0.19325882,38
483,RMJ222542.8+010338.9,336.4281656535876,1.0608108152915725,57.012054000000006,0.2951948,33
484,RMJ085910.5+242431.9,134.7938516222348,24.40886112926134,69.30756,0.3404187,10
485,RMJ101620.6+410544.7,154.08565778057292,41.09574330878789,57.576485,0.27267513,5
