,NAME,RA,DEC,Z_LAMBDA,LAMBDA,S,Z_SPEC,IMAG,MODEL_MAG_U,MODEL_MAG_G,MODEL_MAG_R,MODEL_MAG_I,MODEL_MAG_Z,ILUM
356,RMJ110310.9+041837.9,165.7952943245176,4.310533809273719,0.3308186,87.079605,0.99617445,0.32571313,0.0,22.6088,19.475851,17.744473,17.113474,16.780937,69.306175
362,RMJ022359.1-083540.7,35.99637587178632,-8.594625744932394,0.26624176,79.97079,1.0421925,0.2704955,0.0,20.752481,18.34989,16.83592,16.293907,16.015764,51.819073
363,RMJ223258.6-090335.0,338.24410601379503,-9.059714109915054,0.256377,73.82304,1.0095885,0.2526706,0.0,21.48194,18.975702,17.436838,16.876194,16.596643,49.616093
365,RMJ144457.0+313026.7,221.23756645411257,31.50742721009637,0.21964365,64.85311,0.9977373,0.21947072,0.0,20.860817,18.900274,17.557026,17.05168,16.714094,51.18287
369,RMJ132930.6+224302.3,202.3774651611493,22.717299915787546,0.4426958,105.538124,1.3367133,0.4396404,0.0,22.156267,20.704996,18.916792,18.166372,17.712486,67.53383
370,RMJ114123.3+003801.1,175.34728588219548,0.6336342197290254,0.3152677,71.01612,0.99896324,0.30976847,0.0,21.508303,19.439112,17.761234,17.181074,16.812082,50.90005
373,RMJ152346.5+595120.4,230.94364170564987,59.855671125581594,0.3750024,80.565735,1.0166284,0.36183465,0.0,22.072971,20.191904,18.371138,17.756811,17.372437,58.55052
375,RMJ084902.0+544341.0,132.258449606127,54.72806186016682,0.3560351,93.71552,1.0061764,0.35911435,0.0,27.049635,20.035358,18.231485,17.600883,17.266031,62.768356
376,RMJ133050.6-015143.1,202.71079404574354,-1.8619736305428356,0.09503601,61.756348,1.0151498,0.08786822,0.0,17.772139,15.801357,14.824079,14.445996,14.06586,55.02432
377,RMJ105013.0+052829.5,162.55401486238358,5.4748554571304675,0.40834764,111.94521,1.1768359,0.4188422,0.0,24.150555,20.219412,18.551672,17.841328,17.46823,64.28628
379,RMJ102535.3+510554.7,156.3968780314481,51.0985249086836,0.14267606,56.600166,1.0075841,0.14188752,0.0,18.12979,16.119757,15.0119505,14.597498,14.213141,39.6709
380,RMJ101346.4+194549.8,153.44342443675149,19.763834172694537,0.11008122,56.127266,1.0225959,0.112411015,0.0,18.536606,16.33227,15.354462,14.9360695,14.706549,37.30157
382,RMJ102257.6+151120.9,155.7399313145637,15.189130806904288,0.24125221,62.595375,0.9958458,0.2555402,0.0,21.445435,19.317284,17.969994,17.400537,17.025808,44.601467
384,RMJ080757.6+395225.1,121.99004890616231,39.87363152671133,0.37543783,33.244804,1.0528265,0.19182284,0.0,23.552364,19.715704,18.370848,17.733612,17.290134,26.716604
385,RMJ220107.7+111805.2,330.28211022203146,11.301451919316591,0.23561296,74.402725,1.0210512,0.2381606,0.0,20.281569,18.352802,16.949326,16.45101,16.13617,49.107502
386,RMJ145038.3+051744.9,222.6597371132242,5.295796640798215,0.15499267,58.552803,1.0000596,0.15945545,0.0,18.786917,16.81306,15.691495,15.24404,14.936896,37.14853
387,RMJ140233.1+140823.2,210.6377198696536,14.139787888128653,0.24667747,71.70259,1.0033576,0.24612832,0.0,20.147724,18.30544,16.89839,16.413656,16.086887,53.341988
389,RMJ145917.2+275712.5,224.82156562562983,27.953465725528712,0.24808021,81.42001,1.0098313,0.25385934,0.0,24.199442,18.641039,17.161674,16.634659,16.278965,55.41718
390,RMJ145506.8+615809.9,223.7784941456913,61.96940329670838,0.29094145,91.884926,1.0057206,0.2741581,0.0,20.371159,17.99977,16.442034,15.907143,15.567293,66.7599
391,RMJ152459.8+373926.7,231.24919718309323,37.657425379004295,0.4062468,99.741234,1.1849962,0.40004987,0.0,25.236969,20.710897,18.921389,18.264347,17.896023,63.11008
392,RMJ222409.8+001933.5,336.04089593442404,0.3259735895452938,0.16525559,57.454445,1.0356588,0.14561437,0.0,19.312754,17.14888,15.983535,15.506537,15.169563,36.126472
397,RMJ103517.2+115959.7,158.82159862658514,11.999911864884627,0.32375625,89.32209,0.9939706,0.32236612,0.0,22.721199,20.320412,18.68449,18.11931,17.75714,68.840385
400,RMJ103444.9+061030.2,158.68687533848265,6.175059905887314,0.33700454,74.738335,1.0074751,0.30805844,0.0,23.690874,19.997688,18.307272,17.780767,17.411655,56.47997
401,RMJ121716.1+104411.2,184.3171431403478,10.73643661394778,0.26855147,76.85877,1.0699079,0.28040415,0.0,21.203989,19.734089,18.308279,17.782734,17.379417,41.139202
402,RMJ120413.8+531526.1,181.05761777277738,53.25725383099849,0.31014815,82.74719,1.0054984,0.305169,0.0,21.623684,19.913654,18.272871,17.67516,17.262117,51.94764
404,RMJ125258.6+190851.2,193.24400013259276,19.147560765938724,0.2883496,66.71422,0.99943477,0.28638905,0.0,21.57715,19.932589,18.351168,17.81721,17.503712,42.271736
410,RMJ111601.2+182423.3,169.00520304842104,18.406472883218616,0.4718378,113.68428,1.4571744,0.46652755,0.0,21.607023,19.68681,18.103333,17.346062,16.934174,83.87707
411,RMJ121632.7+271035.6,184.13620968219945,27.1765427788256,0.2805426,79.05549,0.9956264,0.29262325,0.0,21.582825,19.273613,17.67502,17.08799,16.750242,53.006233
413,RMJ010610.4+005120.5,16.54324207894651,0.8556917872165687,0.26237586,78.23172,0.998162,0.26298785,0.0,22.123892,19.207924,17.657394,17.109459,16.755995,51.387344
414,RMJ135548.0-022506.8,208.94982695309704,-2.41854956869483,0.19314186,59.101982,1.0017108,0.19446701,0.0,21.239756,18.600288,17.333431,16.842241,16.576782,34.749252
415,RMJ132627.0+535348.5,201.61232258056583,53.896796593229034,0.37558964,38.263687,1.0117635,0.36470777,0.0,21.762594,19.743425,18.12725,17.519005,17.079298,28.591105
417,RMJ105244.5+163409.3,163.18553954242202,16.569247148649914,0.43265688,117.192924,1.3369669,0.44465947,0.0,23.041903,20.98153,18.850592,18.060608,17.62616,68.333015
419,RMJ235457.8+052603.2,358.7408027468382,5.434228140013768,0.17981824,60.856308,0.9996138,0.18176946,0.0,19.712406,17.656218,16.392954,15.912764,15.61895,44.46991
420,RMJ010407.3+250055.2,16.03031124256421,25.015337935326404,0.2778487,78.90294,1.0077049,0.26079282,0.0,20.991531,19.15563,17.575161,17.072847,16.785442,55.629105
421,RMJ132827.6+150529.5,202.11487776880531,15.091519502860068,0.36753225,89.88652,1.003989,0.3549736,0.0,23.06849,19.959457,18.120586,17.480244,17.24924,68.44956
422,RMJ144726.0+082825.1,221.8584174621521,8.473646164145524,0.38091114,104.485535,1.0947249,0.37546286,0.0,18.77106,18.237444,17.433598,17.108646,16.66357,68.5086
424,RMJ145318.4+412818.9,223.32675112002374,41.47191869707731,0.34731323,81.75562,1.0383981,0.33477268,0.0,24.350756,20.127905,18.528406,17.927753,17.693125,54.450176
426,RMJ023848.1-053927.0,39.700533587957416,-5.657513148047058,0.3217421,81.23695,0.9928791,0.29966667,0.0,21.643848,19.728611,18.08901,17.514124,17.241594,56.82221
427,RMJ135238.0+044046.0,208.15849147188032,4.679435870623577,0.38454807,90.77131,1.0855967,0.40053207,0.0,25.243542,19.72023,17.762575,17.104761,16.823534,57.378517
428,RMJ123105.0+155611.7,187.77102647646683,15.936582068104899,0.18406145,58.385002,1.0071065,0.19076517,0.0,20.379887,18.394514,17.148956,16.680801,16.320557,44.271275
432,RMJ024750.3-002841.5,41.95947566453239,-0.47819546188332973,0.37441283,87.15588,1.0355458,0.36115596,0.0,22.587484,20.436308,18.709702,18.23035,17.673851,63.460766
433,RMJ091539.0+382658.6,138.91253763011264,38.44959807286946,0.385182,92.601906,1.0288565,0.39618242,0.0,23.02989,20.220465,18.350428,17.662373,17.344841,63.556404
434,RMJ093208.6+290404.1,143.03589195768896,29.067815263131827,0.29994437,92.20528,1.055532,0.2995701,0.0,20.827835,19.203733,17.648571,17.077406,16.71291,70.02577
435,RMJ120358.0+012532.7,180.99166586564218,1.4257630048714687,0.4009033,112.78424,1.2583424,0.4130284,0.0,23.300858,20.011879,18.387583,17.719872,17.330622,66.26107
436,RMJ101510.5+323150.8,153.7936732941738,32.53078161204653,0.29576346,77.19438,1.0166987,0.2881363,0.0,25.010612,18.87732,17.244713,16.702784,16.329971,52.72124
437,RMJ140451.7+470504.2,211.21536290988453,47.084492114614235,0.2444273,68.590576,0.99577826,0.2378377,0.0,20.73286,18.409399,16.96974,16.473986,16.14791,45.805237
438,RMJ023909.4-010520.7,39.78927351247654,-1.0890705355736567,0.37648088,108.65014,1.0586975,0.3832849,0.0,21.793407,20.416418,18.723145,18.091177,17.656816,77.73881
439,RMJ144351.2+174214.7,220.96323193336843,17.704079302700364,0.1792404,58.96469,1.0072409,0.1842209,0.0,19.613256,18.060858,16.974234,16.541952,16.231598,41.45631
440,RMJ081543.1+323444.2,123.929485760367,32.57895210086416,0.4080477,105.52287,1.1608117,0.4080566,0.0,22.249073,20.025274,18.338758,17.667227,17.33622,80.87489
441,RMJ091235.9+163949.5,138.14958167009598,16.66375977474061,0.38345575,88.45255,1.1348145,0.41270813,0.0,22.420124,20.751297,19.052269,18.409033,18.035753,47.654644
444,RMJ082121.3+251903.0,125.33861582934824,25.31750756265903,0.26754725,73.42641,0.9992173,0.26757035,0.0,23.148666,19.382135,17.838593,17.263586,16.903252,48.728855
448,RMJ120249.6+082012.8,180.7066216898789,8.336897699383686,0.2076763,63.159805,0.9987689,0.20705274,0.0,20.436783,17.84564,16.479527,15.9949665,15.75119,43.670055
451,RMJ121307.5+341034.3,183.28134052539218,34.176188198538426,0.22222151,64.15138,1.003385,0.22775608,0.0,21.030561,18.195353,16.675764,16.10322,15.799686,43.490044
452,RMJ130922.2+105118.4,197.34257823258162,10.855116277835826,0.42271933,102.92953,1.2511216,0.42553988,0.0,22.793943,20.187668,18.309864,17.594673,17.220613,62.201958
453,RMJ105908.7+170204.3,164.78608052129363,17.034539922172414,0.40182883,104.485535,1.2151048,0.4188447,0.0,23.066603,20.61518,18.79819,18.120514,17.710445,61.088066
454,RMJ113526.9+315332.7,173.86226702834665,31.892405551983,0.246881,66.14978,0.9982698,0.23324287,0.0,20.660957,18.317873,16.943306,16.453627,16.185883,48.730015
456,RMJ151237.8+221820.1,228.15758282467638,22.305585279503738,0.33546832,71.97718,0.9953448,0.32518393,0.0,21.780228,19.716612,18.00001,17.391405,17.018946,55.8554
458,RMJ082535.3+481743.5,126.39708921239392,48.29541321972677,0.1824529,57.469704,1.015831,0.18303385,0.0,19.794836,17.6696,16.3986,15.918472,15.574176,41.310974
462,RMJ114419.4+395505.9,176.08095749135367,39.91829876800995,0.29615372,78.93345,0.9968259,0.2970858,0.0,22.204311,19.394331,17.741678,17.222298,16.88466,61.489197
467,RMJ113139.3-010718.1,172.91366647312742,-1.1216979970725194,0.3523262,83.00653,0.99418294,0.32536608,0.0,22.237494,19.598473,17.88415,17.308718,16.971678,54.52573
468,RMJ145815.0+603320.8,224.5623466762042,60.55578469628917,0.24043259,63.358124,1.000121,0.23402777,0.0,21.069757,18.902592,17.420883,16.880499,16.5555,40.35569
470,RMJ115610.8-002100.8,179.04504805763236,-0.3502284625967392,0.2677558,66.39386,0.9983248,0.25629744,0.0,20.670944,18.065903,16.540648,16.01448,15.697864,57.881752
472,RMJ125100.1+163847.1,192.75031241728357,16.64641930263443,0.32430825,77.83509,0.99577564,0.31530917,0.0,24.872097,19.87703,18.119724,17.56569,17.238348,53.147476
474,RMJ094146.5+391957.7,145.44371939721302,39.33268573252794,0.286333,76.23332,0.99413276,0.28906533,0.0,21.219444,18.766287,17.185757,16.607096,16.22095,51.636623
475,RMJ235525.6-102722.7,358.85660840911197,-10.456298804309224,0.2902464,77.68254,0.99435014,0.28893596,0.0,22.633095,19.723146,18.18018,17.586483,17.398483,48.19478
476,RMJ094433.2+093156.6,146.13846070524056,9.532386600238153,0.21521822,65.18872,1.0041736,0.20402905,0.0,20.738697,18.055258,16.678963,16.16865,15.866606,52.050915
478,RMJ080315.2+475249.2,120.81322127716705,47.88034661856807,0.37979582,95.11898,1.1196376,0.3891357,0.0,21.605597,20.258562,18.477661,17.82195,17.431042,62.358562
480,RMJ142037.4+194626.3,215.15573485273373,19.77397672692578,0.40538862,103.08208,1.1361167,0.40965122,0.0,26.100056,22.289858,18.898836,18.14437,17.831854,73.81674
481,RMJ013544.7+091002.6,23.93606625352254,9.167401909532574,0.2594375,71.00086,0.99842864,0.2613209,0.0,20.421944,18.191978,16.719414,16.205242,15.837417,48.964592
483,RMJ213528.4-005757.1,323.86821136266104,-0.9658743471759048,0.33518377,38.675575,1.1054585,0.32521692,0.0,23.677963,20.245173,18.549665,18.05283,17.685255,23.959892
484,RMJ095734.1+193813.7,149.39224520813428,19.63712657723611,0.17234986,59.163002,1.0593487,0.17124625,0.0,20.016554,17.804167,16.565987,16.067041,15.726899,37.402607
