,Unnamed: 0,NAME,RA,DEC,LAMBDA,Z_SPEC
12497,12497,RMJ075348.8+224307.7,118.45315750880944,22.718815784175572,33.336334,-1.0
12501,12501,RMJ104758.9+354445.2,161.99532667922858,35.74587707616426,34.465202000000005,0.37733720000000004
12503,12503,RMJ021224.9-003049.1,33.10358900501731,-0.5136253232332969,35.74662,0.42520478
12506,12506,RMJ015854.3+321550.3,29.726206300624145,32.263959742034785,49.201508000000004,-1.0
12507,12507,RMJ010847.4+323351.3,17.197690744788357,32.56426138684131,76.67571,-1.0
12508,12508,RMJ211802.7-005247.6,319.5113956537905,-0.8798945900161199,32.192207,-1.0
12509,12509,RMJ015929.4+315453.3,29.872302625293628,31.91479450404336,38.553535,-1.0
12510,12510,RMJ004242.1+253857.1,10.675235970161395,25.649197662445804,32.924446,-1.0
12511,12511,RMJ105235.4+585455.5,163.14766817485398,58.91541007127677,61.939406999999996,-1.0
12512,12512,RMJ230039.4+165709.1,345.1641892329959,16.952537257312137,39.545105,-1.0
12513,12513,RMJ112020.4+343635.8,170.08510554514552,34.6099550484255,30.865026,0.35997438
12514,12514,RMJ082822.4+575529.1,127.09344003786082,57.924755851070394,35.19744,0.32253635
12516,12516,RMJ093546.0+363828.7,143.9416825734155,36.64131009473429,67.70579000000001,0.6046768
12517,12517,RMJ091446.7+131736.2,138.69447505571634,13.293396735278492,30.895536,0.40189674
12521,12521,RMJ232713.2+243147.6,351.80500527250933,24.52990210635217,67.84309,-1.0
12525,12525,RMJ103315.2+324526.5,158.3132968034297,32.757352293372065,36.417840000000005,-1.0
12527,12527,RMJ092137.3+571202.9,140.40523798264294,57.2007942690332,30.148042999999998,0.2819929
12528,12528,RMJ173000.8+333724.7,262.50316851242025,33.62351434172225,42.7334,-1.0
12529,12529,RMJ131523.0-025035.2,198.84597533036398,-2.843112333544892,63.571693,-1.0
12530,12530,RMJ233908.5+113450.9,354.7852220215734,11.580801706479072,32.878685,-1.0
12531,12531,RMJ085020.7-002820.0,132.58622237537693,-0.4722155164674024,47.63024,0.4585416
12534,12534,RMJ074859.1+302429.7,117.24607822374426,30.408244447883305,30.285337,0.35641614
12535,12535,RMJ115653.9+170550.4,179.22448231624992,17.097340373029986,56.325577,0.45989788
12536,12536,RMJ130249.2+215225.4,195.7051983056567,21.873714428846192,43.11477,0.48459437
12537,12537,RMJ214255.3+084902.6,325.7305048985049,8.817392416107795,34.053314,-1.0
12541,12541,RMJ115418.8+365723.4,178.57845905870445,36.95649152556385,52.786423,0.437204
12542,12542,RMJ220108.5+181628.9,330.2854405389033,18.27469591087152,48.225190000000005,-1.0
