,Unnamed: 0,NAME,RA,DEC,Z_LAMBDA,LAMBDA,S,Z_SPEC,IMAG,MODEL_MAG_U,MODEL_MAG_G,MODEL_MAG_R,MODEL_MAG_I,MODEL_MAG_Z,ILUM
10844,15724,RMJ144439.9+013257.0,221.16636413646182,1.5491715152385954,0.5226606,70.74153000000001,2.3755531000000003,0.5851951999999999,0.0,26.28973,22.523746,20.566368,19.57068,19.041157000000002,32.262806
10848,15731,RMJ084653.2+013939.8,131.7217829865534,1.6610575733458388,0.5570828,69.810974,3.117669,0.5868434,0.0,26.324755,23.660582,20.857319,19.88488,19.44432,30.46725
10849,15733,RMJ124000.6+155424.8,190.00244687699455,15.906895750147369,0.48986754,51.306694,2.026308,-1.0,0.0,22.470823,21.040049,19.471733,18.57548,18.041998,30.194934999999997
10852,15736,RMJ091535.1+634029.4,138.89625647208854,63.67482873452897,0.50839156,50.055786,2.2333891,-1.0,0.0,21.902828,21.601627,19.6075,18.650105,18.125845,24.141981
10856,15741,RMJ011744.1+130059.8,19.433660776736588,13.016618182099695,0.5407331,58.613823,2.4883428,-1.0,0.0,26.085123,21.137156,19.439854,18.367176,17.987494,39.011105
10873,15775,RMJ224104.3+030212.0,340.2677617653684,3.0366668863603983,0.55774546,63.480164,2.6944034,0.5285609,0.0,23.5898,21.461615,19.616529999999997,18.630198,18.046124,34.174
10877,15783,RMJ225553.2-065011.1,343.97146330206164,-6.836424552016603,0.51693064,61.20717,2.3207223,-1.0,0.0,27.182875,21.729992000000003,20.155764,19.1607,18.794935,35.747184999999995
10880,15789,RMJ114850.9+172413.3,177.21197666971074,17.403685178236977,0.53561527,63.525925,2.5315456000000003,0.5419656999999999,0.0,24.281370000000003,21.911901,20.102144,19.168058,18.674934,31.849065999999997
10884,15795,RMJ234108.4+263930.3,355.285076047944,26.658418221541236,0.49787780000000004,52.542343,2.5167917999999996,-1.0,0.0,25.063114000000002,21.216179,19.172520000000002,18.213549,17.659569,24.05943
10886,15797,RMJ215051.0+282019.5,327.71233256024885,28.33875812167316,0.53539425,54.876357999999996,2.4479194,-1.0,0.0,24.780996,21.767998000000002,19.790676,18.745142,18.281257999999998,30.688002
10900,15820,RMJ001511.9-092042.5,3.799475098041541,-9.345148735492616,0.53509265,64.8226,2.4460201,-1.0,0.0,24.591589000000003,20.930301999999998,19.332205,18.263523,17.7968,34.681236
10904,15828,RMJ011408.0+324608.2,18.533395884036796,32.7689344878474,0.4914751,53.93055,2.0527863999999996,-1.0,0.0,25.289906,22.296549,20.333328,19.443392000000003,18.9967,25.489916
10908,15837,RMJ104820.6+534428.3,162.08601237544315,53.74119937007062,0.5047341,66.05825,2.1929715,0.49304563,0.0,22.716866,21.207716,19.553526,18.659000000000002,18.205157999999997,35.767379999999996
10910,15841,RMJ231212.4-060755.9,348.05168357383405,-6.132192966670372,0.49029222,52.8627,2.0843554,-1.0,0.0,27.572640999999997,21.246187,19.421753,18.45224,17.988543,27.181332
10915,15854,RMJ095437.9+264800.8,148.65789878806916,26.80023332096632,0.54621625,61.329209999999996,2.3782966,-1.0,0.0,22.205582,20.877737,19.41151,18.538429999999998,18.021803,30.290445000000002
10917,15860,RMJ013215.7-094043.6,23.065209149826583,-9.67877823716917,0.53991264,60.612230000000004,2.424095,-1.0,0.0,23.371494000000002,21.871682999999997,20.020231,18.99752,18.452261,27.631970000000003
10919,15863,RMJ010511.7+234125.7,16.298552259595393,23.6904670038922,0.5496665,62.213997,2.2799354,-1.0,0.0,21.856342,22.457527,20.361542,19.35278,18.890767999999998,32.713190000000004
10923,15871,RMJ092805.4+011039.4,142.02246513490576,1.1776098958070222,0.5497284,65.2955,2.9995434,-1.0,0.0,27.201836,21.765186,20.071417,19.042606,18.457966,29.637825
10928,15882,RMJ230821.4+331709.7,347.08929530704256,33.286025606283324,0.42814767,54.556000000000004,1.6280748,-1.0,0.0,24.10446,20.566558999999998,18.73484,17.965726999999998,17.750736,35.81139
10929,15883,RMJ214937.1-083102.0,327.4047441129348,-8.51723373290721,0.49341273,50.513435,1.976168,-1.0,0.0,23.134222,23.021488,19.930124,18.984049,18.57495,23.545937
10930,15890,RMJ103238.6+055005.5,158.1609599164995,5.8348622995147945,0.5466371999999999,60.50544,2.4018957999999997,0.54311645,0.0,21.287828,21.000732,19.383003,18.359816,17.905651000000002,29.042885
10932,15893,RMJ101153.6+252245.5,152.9734465122984,25.379317027353324,0.53747034,60.3834,2.4501727000000004,-1.0,0.0,23.051434,21.652342,19.951956,19.063847,18.533163000000002,31.204279
10934,15896,RMJ133140.9+010100.6,202.92023825408955,1.0168386130394027,0.562715,53.091522,2.633419,0.5736443,0.0,25.968887,22.465292,20.67174,19.633425,19.221647,21.765273999999998
10939,15912,RMJ235903.9+091459.6,359.7664163421698,9.24989795899407,0.5015125,56.966286,2.429158,-1.0,0.0,24.042921,21.693798,20.127556,19.24636,19.019339000000002,24.703417
10943,15917,RMJ153217.1+153618.5,233.07134501406392,15.605126569348386,0.49620074,53.62545,2.061738,0.48220664,0.0,27.238968,20.97568,19.267694,18.430323,18.016474,27.122164
