,0
521,0.21893878286195495
522,0.6299831014240211
523,0.5509533548222818
524,0.9071235244951256
525,0.600499847374129
526,0.3170682746662871
527,0.02334531323602784
528,0.8280453513622829
529,0.24585640783935264
530,0.8530129356312274
531,0.3121352075120663
532,0.4040959295285418
533,0.12664732817648908
534,0.9027149502118161
535,0.45638021355697983
536,0.6459881549634211
537,0.5698521286540233
538,0.12559233663140476
539,0.41009880906570706
540,0.9717486641670859
541,0.3953318472073583
542,0.6781692818486457
543,0.8743596759414957
544,0.4716568551278152
545,0.2993213411225473
546,0.691725285805519
547,0.32941510777527927
548,0.8794467817150666
549,0.32596623470005126
550,0.7644642503346969
551,0.9914138241944785
552,0.9538118916198812
553,0.6399561955625441
554,0.9730205625375813
555,0.7010697482344895
556,0.012555230121368968
557,0.24996457426246246
558,0.48889168846179265
559,0.7221658033132051
560,0.1003024230732549
561,0.6389260392090491
562,0.8500808339224333
563,0.7747845610952249
564,0.8634311823218483
565,0.9544622375301218
566,0.3962739052948618
567,0.9153549863302691
568,0.7163527475148199
569,0.25254348678152605
570,0.9916966199213106
571,0.7724971954436255
572,0.6240911777679184
573,0.6545187669018305
574,0.9281303066610692
575,0.9184506794186701
576,0.9342172737187854
577,0.10964109923113283
578,0.6484454661345473
579,0.028864428970211433
580,0.7783927818364458
581,0.6192658269306519
582,0.8080449234443796
583,0.6939615096374706
584,0.7387604710794315
585,0.5135806950633699
586,0.23313539216604032
587,0.37569427718724285
588,0.4258479364132858
589,0.3509970731413706
590,0.4536126339071273
591,0.6183876121466962
592,0.6229645388727738
593,0.6906474499819446
594,0.4470840791175165
595,0.33209319928928904
596,0.0687538022411896
597,0.8121497706202229
598,0.8566051491574658
599,0.4714514324932716
600,0.8506544042371313
601,0.7340687926811956
602,0.3960873961339113
603,0.1628374122187882
604,0.3856049066253334
605,0.4232613456004553
606,0.9449530966041844
607,0.5419506848297615
608,0.750947909572578
609,0.7181774061576752
610,0.7961426698337412
611,0.6279833390900689
612,0.5316431336778128
613,0.17208517961513078
614,0.787048305711759
615,0.9253383772528945
616,0.5300100834992058
617,0.01036097717734558
618,0.45099548799182415
619,0.09195831562703814
620,0.8717891381290879
621,0.9209193928758301
622,0.8974904674538573
623,0.8472003078141677
624,0.5573475759312564
625,0.35937074405073355
626,0.1948606355453939
627,0.623407377160785
628,0.8862253373269802
629,0.42530735045255674
630,0.9856256448222384
631,0.42353991828017873
632,0.7779467876870259
633,0.8788377872200577
634,0.5424813114394496
635,0.5039103023501231
