,MCXC,OName,AName,RAdeg,z,M500
864,J1222.0+2709,BVH2007 150       ,                                                      ,185.508,0.472,2.1231
865,J1222.1+7526,RX J1222.1+7526   ,MS1219.9+7542                                         ,185.529,0.24,0.8861
866,J1222.2+2559,BVH2007 151       ,                                                      ,185.568,0.16,0.6727
867,J1223.1+1037,RXC J1223.1+1037  ,NGC 4325                                              ,185.777,0.0258,0.5594
868,J1224.2+7531,BVH2007 152       ,NGC4386                                               ,186.073,0.0056,0.0096
869,J1224.6+3159,RXC J1224.6+3159  ,SHK 245                                               ,186.167,0.063,0.6291
870,J1225.2+3213,RXC J1225.2+3213  ,                                                      ,186.3,0.0594,1.0213
871,J1226.3+6224,BVH2007 153       ,                                                      ,186.592,0.398,1.5464
873,J1227.1+1951,RXC J1227.1+1951  ,MS 1224.7+2007                                        ,186.775,0.3241,4.4502
874,J1227.2+0858,BVH2007 155       ,RX J1227.2+0858 (SSHARC)                              ,186.809,0.0873,0.5192
876,J1227.8+6322,RXC J1227.8+6322  ,A1544                                                 ,186.96,0.1454,2.113
877,J1228.8+1924,RXC J1228.8+1924  ,A1548                                                 ,187.22,0.161,1.8759
880,J1230.2+2326,BVH2007 156       ,                                                      ,187.559,0.221,1.3045
883,J1230.7+1220,Virgo             ,Virgo                                                 ,187.697,0.0036,1.2092
884,J1231.0+0037,RXC J1231.0+0037  ,NGC 4493                                              ,187.773,0.0232,0.1981
886,J1231.7+4137,BVH2007 157       ,                                                      ,187.94,0.176,0.9469
887,J1232.8+2605,RX J1232.8+2605   ,                                                      ,188.202,0.22,1.4062
888,J1233.9+1525,MS1231.3+1542     ,                                                      ,188.481,0.238,2.2815
890,J1234.2-3856,RXCJ1234.2-3856   ,                                                      ,188.571,0.2373,5.2683
891,J1235.1+4117,BVH2007 158       ,A1565                                                 ,188.777,0.189,1.0699
892,J1235.9+2742,WARP J1235.9+2742 ,                                                      ,188.988,0.3821,1.1618
893,J1236.4+1631,RXC J1236.4+1631  ,A1569                                                 ,189.1,0.078,1.3503
894,J1236.4+1224,BVH2007 159       ,IC3574                                                ,189.119,0.0667,0.2734
895,J1236.5+0051,RX J1236.5+0051   ,VMF98 121                                             ,189.131,0.205,0.3916
896,J1236.7-3354,RXCJ1236.7-3354   ,S0700                                                 ,189.186,0.0796,1.6327
897,J1236.7-3531,RXCJ1236.7-3531   ,S0701                                                 ,189.194,0.0736,1.2932
898,J1236.9+2550,BVH2007 160       ,RX J1236.9+2550                                       ,189.237,0.175,0.8827
900,J1237.6+2632,RX J1237.6+2632   ,VMF98 123                                             ,189.411,0.278,0.7096
902,J1240.4-1147,WARP J1240.4-1147 ,                                                      ,190.104,0.193,0.7
904,J1241.5+3250,RX J1241.5+3250   ,                                                      ,190.388,0.39,2.8284
905,J1242.8+0241,RXC J1242.8+0241  ,NGC 4636                                              ,190.706,0.0031,0.1231
906,J1243.3+2716,RXC J1243.3+2716  ,A1602                                                 ,190.845,0.194,2.7771
907,J1244.0+1653,MS1241.5+1710     ,                                                      ,191.007,0.549,3.1592
908,J1244.6-1159,RXCJ1244.6-1159   ,A1606                                                 ,191.158,0.0963,2.3246
909,J1246.0+7057,MS1244.2+7114     ,ZwCl5434?                                             ,191.522,0.225,2.7077
910,J1247.3+5500,RXC J1247.3+5500  ,A1616                                                 ,191.843,0.083,1.0254
911,J1247.7-0548,WARP J1247.7-0548 ,                                                      ,191.93,0.2928,0.695
913,J1248.6-0548,BVH2007 161       ,NGC4697                                               ,192.152,0.0041,0.0113
915,J1252.0-2920,BVH2007 162       ,VMF98 124                                             ,193.02,0.188,0.8715
916,J1252.5-3116,RXCJ1252.5-3116   ,                                                      ,193.142,0.0535,1.8872
917,J1253.0+6248,BVH2007 163       ,A1636                                                 ,193.27,0.235,1.1696
918,J1253.0-0912,RXCJ1253.0-0912   ,HCG 62                                                ,193.273,0.0146,0.2719
920,J1253.2+1555,RX J1253.2+1556   ,BSe RXJ1253.2+1556                                    ,193.312,0.275,1.2028
921,J1253.6-3931,RXCJ1253.6-3931   ,                                                      ,193.421,0.1794,6.9838
922,J1254.0-0642,RXCJ1254.0-0642   ,A1634                                                 ,193.511,0.1962,3.9698
923,J1254.3-2901,RXCJ1254.3-2901   ,A3528N                                                ,193.598,0.0542,1.5435
924,J1254.6+2545,RX J1254.6+2545   ,VMF98 126                                             ,193.66,0.193,0.5776
926,J1254.7-1526,RXCJ1254.7-1526   ,                                                      ,193.696,0.1506,2.8191
927,J1254.8+2550,RX J1254.8+2550   ,VMF98 127                                             ,193.723,0.233,0.8368
928,J1255.5+3521,RXC J1255.5+3521  ,                                                      ,193.878,0.1585,1.4278
929,J1255.5-3019,RXCJ1255.5-3019   ,A3530                                                 ,193.894,0.0541,1.5583
930,J1255.7-1239,RXCJ1255.7-1239   ,                                                      ,193.926,0.0585,0.8179
931,J1256.0+2556,RX J1256.0+2556   ,VMF98 128                                             ,194.02,0.232,0.7034
932,J1256.4+0440,MS1253.9+0456     ,ZwCl5587                                              ,194.111,0.23,2.4053
933,J1256.6+4715,RX J1256.6+4715   ,VMF98 129                                             ,194.164,0.404,0.9339
934,J1256.9-3119,RXCJ1256.9-3119   ,                                                      ,194.249,0.0561,1.1076
936,J1257.1-1339,RXCJ1257.1-1339   ,                                                      ,194.292,0.0151,0.1837
938,J1257.3+6930,RXC J1257.3+6930  ,Zw 1255.4+6946                                        ,194.334,0.227,2.7816
940,J1258.8-2640,RXCJ1258.8-2640   ,A1648                                                 ,194.708,0.0767,1.6005
943,J1259.7-3237,RX J1259.7-3236   ,                                                      ,194.939,0.076,0.4571
944,J1259.8+3120,BVH2007 164       ,                                                      ,194.962,0.0523,0.3373
945,J1301.6-0650,RXCJ1301.6-0650   ,                                                      ,195.401,0.0898,1.5884
946,J1301.7+1059,BVH2007 165       ,VMF98 130                                             ,195.431,0.231,1.283
951,J1304.2-3030,RXCJ1304.2-3030   ,                                                      ,196.07,0.0117,0.2254
952,J1304.4+3335,RXC J1304.4+3335  ,A1672                                                 ,196.115,0.1882,3.2319
953,J1305.9-3739,RXCJ1305.9-3739   ,S0721                                                 ,196.477,0.0497,1.2242
957,J1307.8+2925,MS1305.4+2941     ,ZwCl5722                                              ,196.953,0.241,1.5174
958,J1308.5+5342,BVH2007 166       ,RX J1308.5+5342 (BSHARC)                              ,197.137,0.33,1.4101
959,J1309.2-0136,RXCJ1309.2-0136   ,MS1306.7                                              ,197.321,0.088,1.8597
960,J1309.9+3222,RX J1309.9+3222   ,VMF98 131                                             ,197.482,0.29,0.8509
961,J1311.0-0310,MACSJ1311.0-0310  ,MCS  J1311.0-0310                                     ,197.758,0.494,4.1524
963,J1311.2+3228,BVH2007 167       ,VMF98 132                                             ,197.803,0.245,1.8542
965,J1311.5-0551,RX J1311.5-0551   ,VMF98 133                                             ,197.876,0.461,1.7633
966,J1311.5+2200,ZwCl5768          ,ZwCl5768                                              ,197.884,0.266,4.9919
967,J1311.7+2201,RXC J1311.7+2201  ,                                                      ,197.93,0.1716,1.8158
968,J1311.8+3227,RX J1311.8+3227   ,                                                      ,197.958,0.43,2.0627
969,J1312.3+3900,BVH2007 168       ,                                                      ,198.081,0.404,2.2138
971,J1313.6-3250,BVH2007 169       ,BS RXJ1313.6-3250                                     ,198.413,0.0518,0.206
973,J1314.2+4123,RXC J1314.2+4123  ,                                                      ,198.561,0.2011,2.3593
977,J1315.3-1623,RXCJ1315.3-1623   ,NGC 5044                                              ,198.85,0.0087,0.5144
978,J1316.0+2855,WARP J1316.0+2856S,GHO 1313+2911                                         ,199.017,0.253,0.717
980,J1319.7-2127,MS1317.0-2111     ,                                                      ,199.936,0.164,1.5992
982,J1320.2+3308,RXC J1320.2+3308  ,NGC 5098                                              ,200.064,0.0362,0.5165
983,J1320.7-4102,RXCJ1320.7-4102   ,S0727                                                 ,200.178,0.0495,0.9
984,J1320.7-4855,RXC J1320.7-4855  ,                                                      ,200.196,0.227,3.7894
985,J1320.9+3354,RXC J1320.9+3354  ,A1716                                                 ,200.237,0.182,2.4586
987,J1323.5+1117,A1728             ,A1728                                                 ,200.876,0.0911,1.6682
988,J1324.1+1358,RXC J1324.1+1358  ,NGC 5129                                              ,201.05,0.023,0.2825
989,J1324.7-5736,RXC J1324.7-5736  ,                                                      ,201.18,0.019,1.6812
990,J1325.0-3813,RX J1325.0-3814   ,BSe RXJ1325.0-3814                                    ,201.257,0.296,1.0301
992,J1325.2+6550,RX J1325.2+6550   ,VMF98 134                                             ,201.312,0.18,0.5373
993,J1325.5-3825,RX J1325.5-3826   ,BSe RXJ1325.6-3825                                    ,201.395,0.445,1.9085
996,J1326.2+0013,RXCJ1326.2+0013   ,RXJ1326.3+0013                                        ,201.574,0.0826,1.8258
999,J1329.4+1143,BVH2007 170       ,"VMF98 136, NGC5171, NGC5176                           ",202.366,0.0228,0.1704
1000,J1329.5+1147,RXC J1329.5+1147  ,MKW 11                                                ,202.384,0.022,0.3805
1001,J1329.6+2946,BVH2007 NS 8      ,CGCG161-067                                           ,202.414,0.0473,0.1713
1002,J1329.7-3136,RXCJ1329.7-3136   ,A3558 (B)                                             ,202.429,0.0488,1.721
1003,J1329.8-3310,BVH2007 171       ,                                                      ,202.456,0.0511,0.1645
1004,J1329.9+5834,WARP J1329.9+5834 ,                                                      ,202.493,0.302,0.8868
1006,J1330.9+5814,WARP J1330.9+5814 ,                                                      ,202.746,0.31,1.2484
1007,J1331.5+1108,WARP J1331.5+1108 ,RX J133129.9+110802 (RIXOS)                           ,202.876,0.085,0.2064
1008,J1331.5+6238,BVH2007 172       ,                                                      ,202.879,0.219,1.0481
1009,J1331.5-3148,RXCJ1331.5-3148   ,A3558 (C)                                             ,202.885,0.0448,0.8332
1010,J1332.3-3308,RXCJ1332.3-3308   ,A3560                                                 ,203.094,0.0487,1.6821
1011,J1332.5+5024,A1758b            ,A1758b                                                ,203.126,0.28,3.9877
1012,J1332.6+5419,RXC J1332.6+5419  ,                                                      ,203.167,0.1017,1.4944
1014,J1332.9-2519,RXCJ1332.9-2519   ,                                                      ,203.233,0.1199,2.0385
1018,J1334.3+5031,BVH2007 173       ,                                                      ,203.585,0.62,2.6559
1019,J1334.3+3441,RXC J1334.3+3441  ,NGC 5223                                              ,203.599,0.024,0.252
1020,J1334.5+3756,RX J1334.5+3756   ,VMF98 138                                             ,203.643,0.308,0.3245
1021,J1335.0+3749,RX J1335.0+3750   ,VMF98 139                                             ,203.765,0.382,0.5938
1024,J1336.6-3357,RXCJ1336.6-3357   ,A3565                                                 ,204.162,0.0123,0.1276
1025,J1336.7+3837,RX J1336.7+3837   ,VMF98 140                                             ,204.175,0.18,0.3943
1026,J1337.1+2649,WARP J1337.1+2649 ,                                                      ,204.296,0.41,1.2872
1027,J1337.4-4120,RXCJ1337.4-4120   ,                                                      ,204.367,0.0519,0.9874
1028,J1337.8+2638,RX J1337.8+2638   ,VMF98 142                                             ,204.46,0.342,1.0646
1029,J1337.8+3854,RX J1337.8+3854   ,VMF98 143                                             ,204.472,0.252,0.9659
1030,J1338.0-2944,BVH2007 174       ,MS1335.2-2928                                         ,204.524,0.189,1.2861
1031,J1338.4+2644,WARP J1338.4+2644 ,                                                      ,204.603,0.029,0.0446
1032,J1338.8+3851,BVH2007 175       ,3C28                                                  ,204.709,0.246,2.1537
1033,J1339.0+2745,WARP J1339.0+2745 ,                                                      ,204.768,0.13,0.4254
1034,J1339.5+1830,RXC J1339.5+1830  ,                                                      ,204.895,0.114,1.1802
1035,J1340.5+4017,BVH2007 176       ,VMF98 144                                             ,205.14,0.171,0.6576
1036,J1340.9+3958,BVH2007 177       ,"VMF98 145, A1774                                      ",205.225,0.169,1.024
1039,J1342.8+4028,RX J1342.8+4028   ,VMF98 148                                             ,205.705,0.699,1.767
1040,J1343.4+4053,RX J1343.4+4053   ,VMF98 149                                             ,205.854,0.14,0.4495
1041,J1343.4+5546,BVH2007 179       ,"VMF98 150, A1783                                      ",205.866,0.0673,0.2444
1042,J1343.7+5538,RX J1343.7+5538   ,A1783                                                 ,205.939,0.0766,0.7032
1043,J1344.3+3906,RXC J1344.3+3906  ,                                                      ,206.076,0.2997,2.4774
1044,J1346.2-1632,RXCJ1346.2-1632   ,                                                      ,206.557,0.0557,0.8514
1045,J1346.8-3752,RXCJ1346.8-3752   ,A3570                                                 ,206.719,0.0377,0.6992
1046,J1347.2-3025,RXCJ1347.2-3025   ,A3574W                                                ,206.801,0.0145,0.1559
1050,J1348.9-2526,RXCJ1348.9-2526   ,A1791                                                 ,207.233,0.1269,2.3515
1051,J1349.0+4918,BVH2007 180       ,A1804                                                 ,207.251,0.167,1.3218
1052,J1349.3-3018,RXCJ1349.3-3018   ,A3574E                                                ,207.33,0.016,0.303
1054,J1350.7-3343,RXCJ1350.7-3343   ,                                                      ,207.683,0.1142,2.2004
1055,J1350.8+6007,WARP J1350.8+6007 ,                                                      ,207.71,0.796,2.6419
1059,J1353.4-2753,RXCJ1353.4-2753   ,                                                      ,208.372,0.0468,0.8749
1061,J1354.2-0221,BVH2007 181       ,VMF98 151                                             ,208.57,0.546,2.0887
1063,J1354.8+6917,RX J1354.8+6917   ,VMF98 152                                             ,208.705,0.207,0.489
1064,J1357.3+6232,BVH2007 182       ,                                                      ,209.331,0.525,2.3964
1065,J1358.0+2038,RXC J1358.0+2038  ,A1825                                                 ,209.508,0.062,0.5323
1068,J1359.5+6219,BVH2007 NS 9      ,                                                      ,209.892,0.332,2.6547
1072,J1401.6-1107,RXCJ1401.6-1107   ,A1837                                                 ,210.403,0.0698,1.4817
1073,J1403.5-3359,RXCJ1403.5-3359   ,S0753                                                 ,210.9,0.0132,0.2666
1074,J1404.4+0423,MS1401.9+0437     ,                                                      ,211.116,0.23,1.1455
1075,J1406.2+2830,RX J1406.2+2830   ,VMF98 153                                             ,211.568,0.546,1.5639
1076,J1406.9+2834,BVH2007 183       ,VMF98 154                                             ,211.729,0.118,0.5587
1077,J1407.4-2700,RXCJ1407.4-2700   ,A3581                                                 ,211.867,0.023,1.0806
1079,J1408.1-0904,RXCJ1408.1-0904   ,CAN 40                                                ,212.029,0.0354,0.6071
1081,J1410.2+5938,BVH2007 185       ,VMF98 156                                             ,212.566,0.319,1.5066
1082,J1410.4-4246,RXC J1410.4-4246  ,                                                      ,212.619,0.049,1.2483
1083,J1411.4+5212,RXC J1411.4+5212  ,3C295                                                 ,212.852,0.4599,4.5306
1084,J1412.5-0309,MS1409.9-0255     ,                                                      ,213.148,0.221,1.27
1087,J1415.1+3612,WARP J1415.1+3612 ,                                                      ,213.796,0.7,2.2711
1088,J1415.2-0030,RXCJ1415.2-0030   ,A1882                                                 ,213.809,0.1403,2.7537
1089,J1415.3+2308,WARP J1415.3+2308 ,                                                      ,213.827,0.064,0.1092
1090,J1415.8+0015,RXC J1415.8+0015  ,                                                      ,213.965,0.1259,1.1809
1091,J1416.4+2315,BVH2007 186       ,                                                      ,214.112,0.138,1.7728
1092,J1416.4+4446,BVH2007 187       ,VMF98 158                                             ,214.117,0.4,2.8385
1093,J1416.5+3045,RXC J1416.5+3045  ,A1889                                                 ,214.135,0.186,1.7001
1094,J1416.8-1158,RXCJ1416.8-1158   ,                                                      ,214.214,0.0982,1.9133
1095,J1418.5+2510,BVH2007 188       ,VMF98 159                                             ,214.63,0.29,2.948
1096,J1418.9+4903,RXC J1418.9+4903  ,                                                      ,214.747,0.2806,4.0082
1097,J1419.3+0638,RX J1419.3+0638   ,VMF98 161                                             ,214.848,0.574,2.0962
1098,J1419.8+0634,WARP J1419.9+0634W,VMF98 162                                             ,214.969,0.5641,1.5163
1099,J1421.5+4933,RXC J1421.5+4933  ,Zw 1420.2+4952                                        ,215.398,0.0716,1.6874
1101,J1421.9-2009,RXCJ1421.9-2009   ,                                                      ,215.489,0.1208,1.9497
1102,J1423.1+2615,RXC J1423.1+2615  ,RXJ1423.1+2616                                        ,215.792,0.0375,0.3759
1103,J1423.1+2942,MS1421.0+2955     ,                                                      ,215.795,0.261,1.4771
1104,J1423.7-5412,RXC J1423.7-5412  ,                                                      ,215.93,0.3,8.0935
1105,J1423.7+2404,MACSJ1423.8+2404  ,MCS  J1423.8+2404                                     ,215.949,0.543,4.9804
1106,J1423.8+4015,RXC J1423.8+4015  ,RXJ1423.9+4015                                        ,215.969,0.0822,1.1105
1107,J1425.0+3758,BVH2007 NS 10     ,                                                      ,216.269,0.163,0.7123
1110,J1427.6-2521,MACSJ1427.6-2521  ,                                                      ,216.915,0.318,3.3
1111,J1427.9+2630,BVH2007 189       ,IC4436                                                ,216.992,0.0324,0.0827
1113,J1428.9+0145,MS1426.4+0158     ,                                                      ,217.247,0.32,2.079
1114,J1429.0+4241,WARP J1429.0+4241 ,CRSS J1429.1+4241                                     ,217.274,0.92,2.0435
1115,J1431.1+2538,RXC J1431.1+2538  ,A1927                                                 ,217.779,0.0908,2.138
1117,J1434.2-3229,BVH2007 190       ,S0766                                                 ,218.572,0.241,3.2855
1118,J1435.0-2821,RXCJ1435.0-2821   ,A3605                                                 ,218.753,0.0689,1.2161
1119,J1436.8-0900,RXCJ1436.8-0900   ,                                                      ,219.223,0.0842,1.5981
1120,J1436.9+5507,BVH2007 191       ,                                                      ,219.243,0.125,0.6107
1121,J1438.8+6423,BVH2007 192       ,VMF98 164                                             ,219.711,0.146,0.7337
1123,J1442.3+2218,RXC J1442.3+2218  ,UGC 09480                                             ,220.577,0.0901,2.3234
1124,J1444.1+6344,BVH2007 NS 11     ,"VMF98 165, A1969                                      ",221.027,0.298,1.2862
1127,J1448.6-2749,BVH2007 193       ,A3609                                                 ,222.151,0.175,1.3363
1128,J1451.1+1436,A1978             ,A1978                                                 ,222.775,0.146,3.2781
1129,J1451.2+1840,BVH2007 194       ,IC1062                                                ,222.822,0.0439,0.1752
1131,J1452.9+1641,RXC J1452.9+1641  ,A1983                                                 ,223.245,0.0444,0.8782
1132,J1453.1+2153,RXC J1453.1+2153  ,A1986                                                 ,223.28,0.1186,1.7512
1133,J1454.4+1622,RXC J1454.4+1622  ,                                                      ,223.617,0.0456,0.4614
1134,J1454.5+1838,RXC J1454.5+1838  ,A1991                                                 ,223.631,0.0586,1.6755
1135,J1455.2-3325,RXCJ1455.2-3325   ,                                                      ,223.808,0.1158,2.2029
1137,J1456.2+2221,MS1454.0+2233     ,ZwCl7160                                              ,224.062,0.108,0.7253
1139,J1457.2+2220,RXC J1457.2+2220  ,MS 1455.0+2232                                        ,224.316,0.2579,6.315
1140,J1459.0-0843,RXCJ1459.0-0843   ,                                                      ,224.765,0.1043,1.9047
1142,J1500.0+2234,BVH2007 NS 12     ,VMF98 166                                             ,225.011,0.23,0.8745
1144,J1500.8+2244,RX J1500.8+2244   ,VMF98 167                                             ,225.215,0.45,2.0045
1145,J1501.0-0824,WARP J1501.0-0824 ,                                                      ,225.268,0.51,1.1003
1146,J1501.1+0141,RXCJ1501.1+0141   ,NGC5813                                               ,225.299,0.005,0.2399
1147,J1501.3-0830,BVH2007 195       ,                                                      ,225.326,0.108,1.3793
1150,J1504.6-1453,BVH2007 196       ,                                                      ,226.163,0.284,1.6107
1151,J1506.4+0136,RXC J1506.4+0136  ,NGC 5846                                              ,226.624,0.006,0.1305
1154,J1511.1+1802,RXC J1511.1+1802  ,A2036                                                 ,227.776,0.1161,1.7625
1155,J1511.3+0619,A2033             ,A2033                                                 ,227.848,0.0817,2.3811
1156,J1511.5+0145,RXCJ1511.5+0145   ,                                                      ,227.89,0.0384,0.4275
1157,J1512.2-2254,RXCJ1512.2-2254   ,                                                      ,228.053,0.3152,6.1805
1158,J1512.6+3451,RXC J1512.6+3451  ,A2046                                                 ,228.155,0.1489,1.6807
1159,J1512.8-0128,RXCJ1512.8-0128   ,                                                      ,228.213,0.1223,2.1875
1160,J1514.2+5527,WARP J1514.2+5527 ,                                                      ,228.556,0.4753,1.1063
1161,J1514.3+3636,BVH2007 NS 13     ,MS1512.4+3647                                         ,228.592,0.372,3.0438
1163,J1514.9+5541,WARP J1514.9+5541 ,                                                      ,228.73,0.559,1.8248
1165,J1515.5+4346,BVH2007 197       ,VMF98 168                                             ,228.887,0.137,0.7965
1166,J1515.6+4350,RX J1515.6+4350   ,VMF98 169                                             ,228.903,0.243,0.7694
1167,J1516.3+0005,RXCJ1516.3+0005   ,A2050                                                 ,229.08,0.1181,2.5949
1169,J1516.7+0701,RXC J1516.7+0701  ,A2052                                                 ,229.183,0.0353,2.4945
1170,J1517.9+3127,WARP J1517.9+3127 ,                                                      ,229.483,0.744,1.6042
1171,J1518.3-4632,RXC J1518.3-4632  ,                                                      ,229.595,0.056,1.2396
1172,J1518.7+0613,RXC J1518.7+0613  ,A2055                                                 ,229.69,0.1021,3.118
1173,J1520.9+4840,RXC J1520.9+4840  ,A2064                                                 ,230.227,0.1076,2.6205
1176,J1522.2+2952,MS1520.1+3002     ,                                                      ,230.556,0.117,1.106
1179,J1523.1+3050,A2067             ,A2067                                                 ,230.783,0.0756,1.1796
1180,J1524.0+1003,WARP J1524.0+1003 ,                                                      ,231.017,0.22,0.7775
1182,J1524.2-3154,RXCJ1524.2-3154   ,                                                      ,231.053,0.1028,3.5855
1183,J1524.6+0957,BVH2007 198       ,VMF98 170                                             ,231.168,0.516,3.045
1184,J1524.8+1005,WARP J1524.8+1005 ,                                                      ,231.218,0.251,0.6246
1185,J1525.7+2825,A2073             ,A2073                                                 ,231.436,0.1515,2.6463
1186,J1525.9+1814,A2072             ,A2072                                                 ,231.477,0.127,2.7358
1187,J1528.0+6956,RXC J1528.0+6956  ,                                                      ,232.016,0.1136,1.7024
1188,J1532.9+3021,RXJ1532.9+3021    ,RXJ1532.9+3021                                        ,233.226,0.345,8.1627
1189,J1533.2+3108,BVH2007 199       ,A2092                                                 ,233.321,0.0673,0.9213
1190,J1535.0+0120,MS1532.5+0130     ,                                                      ,233.758,0.32,1.3735
1191,J1535.1-4658,RXC J1535.1-4658  ,                                                      ,233.788,0.036,0.3516
1192,J1536.5+0133,BVH2007 NS 14     ,                                                      ,234.147,0.309,3.0654
1193,J1537.7+1200,BVH2007 200       ,VMF98 171                                             ,234.436,0.134,0.6622
1194,J1539.5-8335,RXCJ1539.5-8335   ,                                                      ,234.891,0.0728,3.177
1200,J1540.1+6611,BVH2007 NS 15     ,                                                      ,235.042,0.245,1.5112
1201,J1540.8+1445,RX J1540.8+1445   ,VMF98 172                                             ,235.222,0.441,1.2099
1202,J1541.1+6626,BVH2007 NS 16     ,                                                      ,235.295,0.245,1.4027
1203,J1544.0+5346,RX J1544.0+5346   ,VMF98 173                                             ,236.021,0.112,0.2802
1205,J1547.3+2057,BVH2007 NS 17     ,VMF98 174                                             ,236.835,0.266,1.4167
1206,J1548.7-0259,RXCJ1548.7-0259   ,A2128                                                 ,237.191,0.101,1.8321
1207,J1549.2+1123,MS1546.8+1132     ,                                                      ,237.31,0.226,2.3149
1208,J1552.2+2013,BVH2007 201       ,VMF98 175                                             ,238.051,0.136,0.9829
1210,J1554.2+3237,RXC J1554.2+3237  ,                                                      ,238.573,0.075,0.9731
1212,J1557.7+3530,RXC J1557.7+3530  ,A2141                                                 ,239.438,0.1549,2.6998
1215,J1559.1+6353,WARP J1559.1+6353 ,                                                      ,239.792,0.85,2.1665
1216,J1600.3+3313,MS1558.5+3321     ,A2145                                                 ,240.095,0.088,1.5616
1217,J1601.3+5354,RXC J1601.3+5354  ,A2149                                                 ,240.347,0.1068,2.1643
1220,J1603.0+2524,A2148             ,A2148                                                 ,240.759,0.0888,1.6041
1221,J1604.5+1743,RXC J1604.5+1743  ,A2151a                                                ,241.149,0.037,1.3202
1222,J1604.9+2355,RXC J1604.9+2355  ,AWM 4                                                 ,241.238,0.0326,0.9289
1223,J1605.5+7208,RXC J1605.5+7208  ,                                                      ,241.382,0.1332,1.8917
1224,J1605.5+1626,A2152             ,A2152                                                 ,241.384,0.037,0.57
1225,J1606.7+2328,RX J1606.7+2329   ,VMF98 176                                             ,241.677,0.31,1.104
1226,J1606.8+1746,A2151b            ,A2151b                                                ,241.718,0.0321,0.3311
1227,J1614.1-6307,RXC J1614.1-6307  ,                                                      ,243.533,0.062,1.3091
1228,J1614.1+4909,A2169             ,A2169                                                 ,243.54,0.0579,0.788
1229,J1614.1+3425,BVH2007 202       ,                                                      ,243.548,0.269,1.3573
1231,J1614.4+6825,WARP J1614.4+6825 ,                                                      ,243.604,0.128,0.284
1232,J1615.5+1927,RXC J1615.5+1927  ,NGC 6098                                              ,243.895,0.0308,0.3629
1234,J1617.4+3456,RXC J1617.5+3458  ,NGC 6107                                              ,244.363,0.0315,0.6744
1235,J1618.2+2938,RXC J1618.2+2938  ,                                                      ,244.574,0.2993,3.0268
1236,J1619.0+3230,MS1617.1+3237     ,                                                      ,244.767,0.274,1.3447
1237,J1620.3+1723,BVH2007 NS 18     ,VMF98 177                                             ,245.09,0.112,0.4637
1239,J1621.0+2546,MS1618.9+2552     ,A2177                                                 ,245.255,0.161,2.0112
1240,J1621.4+3810,MACSJ1621.3+3810  ,MCS  J1621.3+3810                                     ,245.353,0.463,4.811
1241,J1623.5+2634,MS1621.5+2640     ,                                                      ,245.898,0.4274,2.6594
1243,J1626.3-3329,RXC J1626.3-3329  ,                                                      ,246.586,0.1098,4.6556
1245,J1627.3+4240,RXC J1627.3+4240  ,A2192                                                 ,246.848,0.0317,0.3796
1246,J1627.6+4055,RXC J1627.6+4055  ,A2197                                                 ,246.917,0.0301,0.3868
1247,J1627.9-2952,RXC J1627.9-2952  ,                                                      ,246.995,0.064,0.8677
1250,J1629.7+2123,BVH2007 203       ,VMF98 178                                             ,247.442,0.184,0.9362
1251,J1630.2+2434,BVH2007 204       ,VMF98 179                                             ,247.561,0.0655,0.8776
1252,J1631.0+2121,BVH2007 205       ,VMF98 180                                             ,247.77,0.098,0.4922
1255,J1633.6+5714,RX J1633.6+5714   ,VMF98 181                                             ,248.417,0.239,0.3875
1256,J1633.8-0738,RXCJ1633.8-0738   ,                                                      ,248.475,0.0974,1.6135
1260,J1639.9+5347,BVH2007 206       ,"VMF98 182, A2220                                      ",249.981,0.111,1.3678
1262,J1641.1+8232,BVH2007 207       ,VMF98 183                                             ,250.296,0.206,2.1042
1263,J1641.8+4001,BVH2007 208       ,VMF98 184                                             ,250.468,0.464,2.7095
1264,J1642.6+3935,RX J1642.6+3935   ,VMF98 186                                             ,250.662,0.355,1.1442
1265,J1643.2+5114,RXC J1643.2+5114  ,A2227                                                 ,250.804,0.199,2.6077
1269,J1649.2+5325,WARP J1649.2+5325 ,"ARP 330, SHK 016                                      ",252.301,0.029,0.304
1270,J1651.1+0459,RXC J1651.1+0459  ,Her A                                                 ,252.792,0.154,3.7563
1271,J1652.2+4449,RXC J1652.2+4449  ,                                                      ,253.068,0.1753,2.9971
1272,J1652.6+4011,RXJ1652.6+4011    ,RXJ1652.6+4011                                        ,253.166,0.1481,2.3606
1273,J1652.9+4009,RXC J1652.9+4009  ,                                                      ,253.232,0.1492,2.5116
1275,J1654.3+2334,RXC J1654.3+2334  ,                                                      ,253.597,0.0575,0.7197
1276,J1654.7+5854,RXC J1654.7+5854  ,A2239                                                 ,253.695,0.0869,1.0678
1277,J1655.0-2625,RXC J1655.0-2625  ,                                                      ,253.757,0.094,2.2583
1278,J1655.9-0113,RXCJ1655.9-0113   ,                                                      ,253.984,0.0408,0.6019
1279,J1657.7-0149,RXCJ1657.7-0149   ,                                                      ,254.439,0.0313,0.4656
1280,J1657.8+5301,WARP J1657.8+5301 ,                                                      ,254.452,0.479,1.9244
1281,J1658.0+2751,RXC J1658.0+2751  ,AWM 5                                                 ,254.503,0.0337,0.7079
1282,J1658.0+5254,WARP J1658.0+5254 ,                                                      ,254.521,0.4655,1.8407
