,MCXC,OName,AName,RAdeg,z,M500
207,J0237.9-5224,BVH2007 28        ,"VMF98 28, A3038                                       ",39.498,0.136,1.2327
208,J0239.8-2320,RX J0239.8-2320   ,VMF98 29                                              ,39.969,0.45,1.2985
210,J0242.5-2132,MACSJ0242.5-2132  ,MCS  J0242.6-2132                                     ,40.649,0.314,5.0925
211,J0244.1-2611,RXC J0244.1-2611  ,                                                      ,41.026,0.1362,2.1489
212,J0245.2-4627,RXC J0245.2-4627  ,A3047                                                 ,41.303,0.0868,1.0754
213,J0245.7+0936,BVH2007 29        ,                                                      ,41.44,0.147,1.2406
215,J0248.0-0332,RXCJ0248.0-0332   ,A0383                                                 ,42.008,0.1883,4.2465
217,J0249.6-3111,RXCJ0249.6-3111   ,S0301                                                 ,42.404,0.023,0.4469
218,J0250.0+1907,BVH2007 30        ,                                                      ,42.515,0.122,0.5854
219,J0250.2-2129,RXCJ0250.2-2129   ,                                                      ,42.572,0.207,3.9964
220,J0251.2-2055,BVH2007 31        ,                                                      ,42.824,0.325,1.7897
221,J0251.4-2456,RXC J0251.4-2456  ,A0389                                                 ,42.87,0.1134,1.6735
222,J0252.8-0116,RXCJ0252.8-0116   ,NGC1132                                               ,43.206,0.0235,0.4664
224,J0255.8+0918,RXC J0255.8+0918  ,IC 1867                                               ,43.964,0.0258,0.3249
225,J0256.5+0006,RX J0256.5+0006   ,                                                      ,44.137,0.36,3.452
227,J0257.6+0600,A400              ,A0400                                                 ,44.412,0.0238,0.8012
230,J0258.2-2105,RXC J0258.2-2105  ,A3073                                                 ,44.562,0.1226,1.5944
231,J0258.7+0012,RX J0258.7+0012   ,VMF98 30                                              ,44.692,0.259,0.8451
233,J0259.5+0013,BVH2007 32        ,VMF98 31                                              ,44.891,0.194,1.1508
235,J0301.6+0155,RXCJ0301.6+0155   ,Zw0258.9                                              ,45.405,0.1712,4.0333
236,J0301.8+3550,A407              ,A0407                                                 ,45.456,0.0464,0.9159
237,J0302.3-0423,BVH2007 33        ,                                                      ,45.589,0.35,5.5681
238,J0303.3+0155,RXCJ0303.3+0155   ,A0409                                                 ,45.838,0.153,3.6105
241,J0304.4-0702,BVH2007 34        ,                                                      ,46.103,0.135,0.6618
242,J0304.5+1527,MS0301.7+1516     ,                                                      ,46.126,0.083,0.6761
243,J0305.3+1728,MS0302.5+1717     ,                                                      ,46.326,0.4249,2.1915
244,J0305.5+1710,MS0302.7+1658     ,                                                      ,46.382,0.4246,2.3904
245,J0306.4-0943,BVH2007 35        ,IC1880                                                ,46.62,0.0342,0.2893
247,J0307.0-0628,BVH2007 36        ,                                                      ,46.77,0.347,3.1062
250,J0311.5+0714,RXC J0311.5+0714  ,                                                      ,47.899,0.142,1.8571
251,J0313.3+2624,RXC J0313.3+2624  ,                                                      ,48.344,0.1649,2.0487
252,J0313.6-3817,RXC J0313.6-3817  ,A3098                                                 ,48.408,0.0833,1.0294
255,J0318.2-0301,RX J0318.2-0301   ,BS RXJ0318.2-0301                                     ,49.573,0.37,1.5161
256,J0318.5-0302,BVH2007 37        ,BS RXJ0318.5-0302                                     ,49.639,0.37,2.8422
257,J0319.7+4130,RXC J0319.7+4130  ,A0426                                                 ,49.947,0.0179,6.1508
258,J0320.3-4259,BVH2007 38        ,                                                      ,50.075,0.158,0.8694
259,J0320.6-4311,BVH2007 39        ,S0343                                                 ,50.158,0.149,0.7445
260,J0321.9-5119,RX J0321.9-5119   ,A3120                                                 ,50.488,0.0696,0.9545
261,J0322.2-5310,RXCJ0322.2-5310   ,APMCC391                                              ,50.553,0.0797,1.1966
263,J0322.3-4918,BVH2007 NS 1      ,"VMF98 32, S0346                                       ",50.585,0.067,0.3708
