,NAME,RA,DEC,LAMBDA,Z_SPEC,dist
77,RMJ145447.1+542233.1,223.69616068862564,54.37587473555687,61.878387,-1.0,2.6775057071947868
78,RMJ122854.3+192554.5,187.22628824599585,19.431798036508212,77.45372,0.1605155,0.02452584874124339
79,RMJ221059.3-065323.9,332.74715526152113,-6.889981263699414,128.48161,-1.0,2.775684370090552
80,RMJ083539.7+365225.5,128.91552313766326,36.873761455891426,98.780174,0.29157805,2.7712434526896392
81,RMJ025630.8+000603.3,44.12853993655613,0.10090363829178342,94.46301,0.37105927,0.00871591528535734
82,RMJ114806.9-023420.3,177.02885081291004,-2.572318594703576,101.7854,-1.0,3.2940204338902914
83,RMJ102108.8+144603.6,155.2866704709054,14.767664392406067,83.05229,0.24245864,2.3849391377299773
84,RMJ134347.5+094652.4,205.9480100979297,9.781220228794455,73.54845,0.21168223,3.30995591868786
85,RMJ092836.6+374723.2,142.15268950958531,37.789787653044044,84.92866,0.24501655,0.00982189547974832
86,RMJ072646.8+423150.5,111.69480309714741,42.530683627099954,65.69213,0.18237486,1.1575963083608312
87,RMJ212107.6+051944.0,320.28171461870113,5.328886382928081,74.32645,0.14540547,4.361397123950836
88,RMJ122147.0+074823.5,185.44574337995238,7.806530990245651,67.00406,0.13709411,1.7818061719583678
89,RMJ085138.9+333106.2,132.91195808627853,33.518376242941706,109.96207,-1.0,1.5961590128046388
90,RMJ141638.9+304408.7,214.16189060763367,30.735762407251492,76.30959,0.18547714,0.03496418080590308
91,RMJ221715.8+090310.1,334.315983702489,9.052793669803416,98.490326,0.28823164,4.82963664145268
92,RMJ012713.6+002206.2,21.806780682788315,0.3683824789556343,107.64331,0.3379918,1.1367916015704067
93,RMJ012542.3-063442.3,21.426365942207184,-6.57842375184543,159.34242,-1.0,2.285043582607528
94,RMJ113252.2+395036.0,173.2174449797248,39.84333417776916,94.96643,-1.0,1.7259255535897462
95,RMJ080543.3+454058.9,121.43025066992627,45.68303647177927,62.915726,0.13688244,0.006965729693630933
96,RMJ134502.1-024838.0,206.25859097496294,-2.810568311392039,197.57138,0.52037805,2.3520241704519953
97,RMJ081545.8+100410.7,123.94099276150507,10.069641727964429,95.43933,0.2772374,2.558437862268686
98,RMJ011717.7+154516.9,19.323842848876495,15.75470618314931,93.181595,0.34496918,1.0385596350924438
99,RMJ224715.8-030147.0,341.8157147386808,-3.0297221844497155,80.016556,0.18249871,3.2924095446394754
100,RMJ081659.3+490141.1,124.24715600041453,49.02808634920014,105.416084,0.35895228,2.112741175119865
101,RMJ085023.9+001536.4,132.59971858822274,0.2601200744886376,68.40752,0.19607635,6.002548582814832
