,Name,RAdeg,DEdeg,z,MSZ,MCXC,RedMAPPer
133,PSZ2 G037.48+71.52,213.6348242,27.055502,0.480965,7.058753,            ,RMJ141438.9+270311.1
134,PSZ2 G037.67+15.71,270.8099351,11.2055219,-1.0,0.0,            ,                    
135,PSZ2 G037.69-46.87,327.6175442,-16.3991623,0.263,5.1732,            ,                    
136,PSZ2 G038.68+24.50,262.9725511,15.6778473,0.0836,2.475157,            ,                    
137,PSZ2 G038.95-46.90,327.9887435,-15.613352,0.0614,1.956114,J2151.8-1543,                    
138,PSZ2 G039.21-75.96,357.4653192,-24.7552547,0.243501,3.89673,            ,                    
139,PSZ2 G039.32-59.88,340.7698037,-20.1640435,0.1359,3.19194,J2243.0-2009,                    
140,PSZ2 G039.34+73.28,211.693221,27.7299404,0.566447,5.691223,            ,RMJ140649.4+274556.8
141,PSZ2 G039.85-39.96,321.7514441,-12.1616651,0.176,5.91514,J2127.1-1209,                    
142,PSZ2 G039.86+18.70,268.9272196,14.3619665,-1.0,0.0,            ,                    
143,PSZ2 G039.98-53.12,334.2369494,-17.4076141,0.1301,3.476531,J2216.9-1725,                    
144,PSZ2 G040.03+74.95,209.8162599,27.965074,0.0612,2.570666,J1359.2+2758,RMJ135915.1+275834.5
145,PSZ2 G040.11-42.58,324.2706321,-13.0963348,-1.0,0.0,            ,                    
146,PSZ2 G040.28+37.36,250.7979348,21.5437922,0.1535,3.169573,J1643.3+2131,RMJ164319.2+213121.4
147,PSZ2 G040.58+77.12,207.3621979,28.0946094,0.0748,2.626682,J1349.3+2806,RMJ134931.6+280001.6
148,PSZ2 G041.43-66.81,348.1084422,-21.5507349,0.1108,2.709744,J2312.3-2130,                    
149,PSZ2 G041.45+29.10,259.4664801,19.6925477,0.178,5.587061,J1717.8+1940,                    
150,PSZ2 G041.69+21.68,266.8049624,17.1309217,0.479,5.828984,            ,                    
151,PSZ2 G042.19+63.00,223.3831236,28.1217469,0.256841,4.272891,            ,RMJ145332.1+280358.0
152,PSZ2 G042.32+17.48,271.0698533,15.9973002,0.458,7.029055,            ,                    
153,PSZ2 G042.53+35.20,253.6242588,22.5908722,0.1811,3.430715,            ,                    
154,PSZ2 G042.54+18.02,270.6433998,16.4013953,-1.0,0.0,            ,                    
155,PSZ2 G042.81+56.61,230.6170706,27.69472,0.0723,4.08112,J1522.4+2742,RMJ152224.0+274251.7
156,PSZ2 G042.81-82.97,5.1724744,-25.7138057,0.141,4.259752,J0020.7-2542,                    
157,PSZ2 G043.44-41.27,324.1836115,-10.2966166,-1.0,0.0,            ,                    
158,PSZ2 G044.07-59.30,341.1382436,-17.716886,0.1325,3.033627,J2244.5-1744,                    
159,PSZ2 G044.20+48.66,239.600471,27.2122534,0.0894,8.771307,J1558.3+2713,RMJ155820.0+271400.3
160,PSZ2 G044.21+52.13,235.7544571,27.8333101,-1.0,0.0,            ,                    
161,PSZ2 G044.46-65.42,347.1738916,-19.9184041,0.0829,2.56931,            ,                    
162,PSZ2 G044.58-20.46,306.2812057,0.5188419,0.2746,5.65164,            ,                    
163,PSZ2 G044.77-51.30,333.7654656,-13.9876674,0.5027,8.359282,J2214.9-1400,                    
164,PSZ2 G044.83+10.02,279.164107,15.0804792,-1.0,0.0,            ,                    
165,PSZ2 G045.04+30.38,259.3115246,23.0598388,0.1603,3.238837,            ,                    
