,Unnamed: 0,NAME,RA,DEC,LAMBDA,Z_SPEC
7448,7448,RMJ145857.1+042326.5,224.73806924689305,4.390682265114384,57.668015000000004,0.4530403
7461,7461,RMJ102537.0+243445.7,156.40432611962666,24.57935408380707,61.634308,0.48830175
7469,7469,RMJ090005.8+515453.4,135.02405230032605,51.91482812519853,53.1678,0.41367948
7477,7477,RMJ122555.2+082243.7,186.4798956435107,8.378798418542301,62.336037,0.48377845
7485,7485,RMJ153816.8+245529.9,234.5700941247246,24.92495902243302,81.801384,-1.0
7492,7492,RMJ234048.4+295716.9,355.20159280406733,29.9546986925549,53.869530000000005,-1.0
7494,7494,RMJ114913.3+353154.2,177.3054416570499,35.53171093904518,62.900475,0.47389245
7499,7499,RMJ232829.8+313109.2,352.12407138753235,31.519212237227702,56.493384999999996,-1.0
7509,7509,RMJ230108.3+125840.6,345.2847134930565,12.977948864610813,98.795425,-1.0
7526,7526,RMJ075048.3+472650.1,117.70141749687322,47.447247403507525,57.881584,0.42764816
7529,7529,RMJ224909.5-100638.7,342.28958101319705,-10.110742263821619,56.157776,0.43479332
7533,7533,RMJ095746.0+022533.3,149.44157865750378,2.425928035089689,59.31555,0.48067716
7535,7535,RMJ153010.3+230954.6,232.54301062895158,23.165171515345545,60.15458,-1.0
7542,7542,RMJ153602.5+271252.3,234.0104155138448,27.214520337178673,55.31875,0.46230295
7543,7543,RMJ224751.2+042401.0,341.9634115799838,4.4002828867041,54.3882,0.41371635
7561,7561,RMJ120448.8+313745.7,181.20327444527592,31.629360856365327,61.283446999999995,0.47438958
7562,7562,RMJ101854.3+493200.7,154.7261880048233,49.533521522414226,51.535515000000004,-1.0
7566,7566,RMJ084225.5-002656.6,130.60617877160624,-0.449051084359078,54.327180000000006,-1.0
7571,7571,RMJ095918.2+010200.7,149.82574578736396,1.033515694688962,50.421906,-1.0
7573,7573,RMJ075237.9+492142.7,118.158124489662,49.36187171280991,52.725403,0.42003453
7577,7577,RMJ102937.5+341019.7,157.40633488946398,34.17213176162869,50.010017,-1.0
7583,7583,RMJ122422.0+021210.9,186.09156426135914,2.2030154095031746,58.53755,0.45085227
7591,7591,RMJ233955.0-025012.3,354.9791106091622,-2.8367620747157463,50.864296,-1.0
