,Name,RAdeg,DEdeg,z,MSZ,MCXC,RedMAPPer
833,PSZ2 G179.09+60.12,160.1863687,39.9591794,0.1372,3.839041,J1040.7+3956,RMJ104103.1+395518.0
836,PSZ2 G180.25+21.03,109.3671738,37.7433351,0.546,11.487184,J0717.5+3745,                    
837,PSZ2 G180.27-29.53,61.1506902,11.1336698,0.3548,7.705027,J0404.6+1109,                    
838,PSZ2 G180.60+76.65,179.3109716,33.6109709,0.2138,6.299809,J1157.3+3336,RMJ115717.3+333639.4
840,PSZ2 G180.88+31.04,121.9739461,39.7754974,0.364653,5.988849,            ,RMJ080747.3+394635.6
841,PSZ2 G181.06+48.47,144.8500768,40.7575713,0.240392,4.231924,            ,RMJ093930.4+404710.4
842,PSZ2 G181.44-44.76,50.1263453,0.5114656,0.3939,5.136061,            ,                    
843,PSZ2 G181.71-68.65,31.6489965,-14.880019,0.1529,3.967463,J0206.4-1453,                    
845,PSZ2 G182.42-28.28,63.3550768,10.4720172,0.0882,6.952417,J0413.4+1028,                    
846,PSZ2 G182.59+55.83,154.2574455,39.0279568,0.206,5.834504,J1017.0+3902,                    
847,PSZ2 G183.30+34.98,127.4334861,38.4547841,0.3919,6.559128,            ,RMJ082944.9+382754.4
849,PSZ2 G183.90+42.99,137.696336,38.8112483,0.561,6.945816,            ,RMJ091051.0+385022.4
852,PSZ2 G184.24+43.69,138.6019145,38.6019301,0.397,5.41092,            ,                    
853,PSZ2 G184.68+28.91,120.2399423,36.0971966,0.288,5.5018,J0800.9+3602,RMJ080056.8+360323.5
854,PSZ2 G185.08+34.02,126.539653,36.8504825,0.364755,5.409293,            ,RMJ082607.3+364738.5
855,PSZ2 G185.16-53.63,44.7694799,-6.9711388,0.422989,6.35498,            ,RMJ025904.4-065921.0
860,PSZ2 G186.24-11.99,79.0687758,17.2273373,0.115,4.698221,J0516.3+1712,                    
861,PSZ2 G186.37+37.26,130.748512,36.35277,0.282,10.998416,J0842.9+3621,RMJ084257.6+362159.3
863,PSZ2 G186.61+62.94,162.6645635,35.8428925,0.509365,5.680198,            ,RMJ105038.6+354912.4
864,PSZ2 G186.81+07.32,97.365777,26.5284204,0.2204,5.375743,            ,                    
865,PSZ2 G186.99+38.65,132.5385296,36.0765592,0.378,6.840518,J0850.2+3603,RMJ085007.9+360413.7
866,PSZ2 G187.53+21.92,113.0646057,31.6261002,0.171,5.165305,J0732.3+3137,RMJ073220.3+314120.7
867,PSZ2 G187.74+20.66,111.7531214,31.0220031,0.1929,4.290579,            ,                    
869,PSZ2 G188.38+07.05,97.8736308,25.0177793,0.081,3.310576,J0631.3+2500,                    
870,PSZ2 G188.57-68.86,32.9565371,-17.0348203,0.174,3.339818,            ,                    
871,PSZ2 G189.23+20.55,112.1960895,29.6730081,0.3976,5.462187,J0728.9+2935,                    
872,PSZ2 G189.31+59.24,157.9544467,35.0406018,0.1259,3.241592,J1031.7+3502,RMJ103144.3+350229.0
873,PSZ2 G189.53-25.10,69.7681099,7.2695893,0.245,6.037396,J0439.0+0715,                    
875,PSZ2 G190.61+66.46,166.5375777,33.5720437,0.4881,5.54629,            ,RMJ110608.5+333339.7
876,PSZ2 G191.00+06.65,98.7641034,22.5169527,0.068,5.891888,J0635.0+2231,                    
880,PSZ2 G192.18+56.12,154.0910699,33.6604183,0.124,3.620565,J1016.3+3338,RMJ101622.9+333817.4
882,PSZ2 G192.77+33.14,127.171809,30.4021636,0.0503,1.658464,J0828.6+3025,RMJ082843.9+302416.3
883,PSZ2 G192.90+29.63,123.303929,29.3651998,0.360465,5.170002,            ,RMJ081305.4+292014.8
884,PSZ2 G193.31-46.13,53.9795212,-6.9899481,0.64,6.085709,            ,                    
885,PSZ2 G193.63+54.85,152.5728755,32.830679,0.292,5.185323,            ,RMJ101017.3+324954.6
887,PSZ2 G194.36+14.07,107.5619264,22.6875302,0.289,5.065539,J0710.4+2240,                    
