,Name,RAdeg,DEdeg,z,MSZ,MCXC,RedMAPPer
874,PSZ2 G189.79-37.25,59.904535,0.1318915,-1.0,0.0,            ,                    
877,PSZ2 G191.57+58.88,157.4151933,33.909936,-1.0,0.0,            ,                    
878,PSZ2 G191.63-28.01,68.4081581,4.0788226,-1.0,0.0,            ,                    
879,PSZ2 G191.82-26.64,69.6538312,4.7007345,-1.0,0.0,            ,                    
881,PSZ2 G192.40-67.89,34.5818793,-17.7563689,-1.0,0.0,            ,                    
886,PSZ2 G193.90+09.41,102.7990898,21.1486224,-1.0,0.0,            ,                    
888,PSZ2 G194.68-49.76,51.3417219,-9.6804547,-1.0,0.0,            ,                    
890,PSZ2 G195.03-79.43,23.8236155,-23.4606533,-1.0,0.0,            ,                    
896,PSZ2 G196.65-45.51,55.7313311,-8.6606033,-1.0,0.0,            ,                    
900,PSZ2 G198.73+13.34,108.7047414,18.5210065,-1.0,0.0,            ,                    
901,PSZ2 G198.80-57.57,45.5297386,-15.5701843,-1.0,0.0,            ,                    
905,PSZ2 G199.73+36.98,133.0360632,25.8873902,-1.0,0.0,            ,                    
911,PSZ2 G201.20-42.83,59.7072371,-10.216251,-1.0,0.0,            ,                    
915,PSZ2 G202.61-26.26,74.961981,-3.371833,-1.0,0.0,            ,                    
916,PSZ2 G202.66+66.98,166.8142374,28.7964975,-1.0,0.0,            ,                    
919,PSZ2 G203.32+08.91,106.5419128,12.5539485,-1.0,0.0,            ,                    
920,PSZ2 G203.71+50.82,148.7731224,26.3309135,-1.0,0.0,            ,                    
924,PSZ2 G204.91-69.71,34.6922156,-22.6224957,-1.0,0.0,            ,                    
927,PSZ2 G205.56-44.20,59.8764809,-13.6567333,-1.0,0.0,            ,                    
933,PSZ2 G206.55-43.22,61.1062921,-13.8999821,-1.0,0.0,            ,                    
934,PSZ2 G206.75-33.21,70.4287426,-9.7668463,-1.0,0.0,            ,                    
936,PSZ2 G208.57-44.31,60.6746793,-15.673252,-1.0,0.0,            ,                    
945,PSZ2 G210.02-56.38,49.115237,-20.7778694,-1.0,0.0,            ,                    
948,PSZ2 G210.37-37.00,68.1827041,-14.0502783,-1.0,0.0,            ,                    
949,PSZ2 G210.57-44.61,60.9466993,-17.1091232,-1.0,0.0,            ,                    
951,PSZ2 G210.71+63.08,162.9234653,24.9692198,-1.0,0.0,            ,                    
952,PSZ2 G210.78-36.25,69.029847,-14.0494475,-1.0,0.0,            ,                    
954,PSZ2 G211.31-60.28,45.3097769,-22.5531685,-1.0,0.0,            ,                    
964,PSZ2 G213.73-56.15,49.9841045,-22.6847933,-1.0,0.0,            ,                    
969,PSZ2 G215.25-87.14,16.0648278,-27.2074899,-1.0,0.0,            ,                    
