,MCXC,OName,AName,RAdeg,DEdeg,z,M500
493,J0751.4+1730,ZwCl1432          ,ZwCl1432                                              ,117.85,17.513,0.1894,3.8253
494,J0753.4+2921,A602              ,A0602                                                 ,118.351,29.366,0.0621,1.4236
495,J0756.9+3839,RXC J0756.9+3839  ,                                                      ,119.232,38.65,0.2203,2.5432
496,J0757.7-5315,RXC J0757.7-5315  ,S606                                                  ,119.444,-53.264,0.039,1.1092
497,J0757.9-2157,RXC J0757.9-2157  ,                                                      ,119.495,-21.962,0.049,1.9409
498,J0758.3+2640,RXC J0758.3+2640  ,                                                      ,119.589,26.679,0.2315,2.2599
499,J0759.7+5400,RXC J0759.7+5400  ,Zw 0755.8+5408                                        ,119.928,54.002,0.1032,2.0052
500,J0800.9+3602,RXC J0800.9+3602  ,A0611                                                 ,120.245,36.047,0.288,4.5987
501,J0802.1-1926,RXC J0802.1-1926  ,                                                      ,120.54,-19.434,0.14,2.2449
502,J0804.3+4646,RXC J0804.3+4646  ,A0616                                                 ,121.091,46.782,0.1868,2.2205
503,J0805.7+4541,RXC J0805.7+4541  ,A0620                                                 ,121.43,45.69,0.1353,1.7085
504,J0809.6+2811,BVH2007 80        ,                                                      ,122.421,28.199,0.399,3.3891
505,J0809.9-0258,RXC J0809.9-0258  ,                                                      ,122.482,-2.982,0.27,5.682
506,J0810.4+4216,BVH2007 81        ,VMF98 47                                              ,122.601,42.272,0.064,1.0201
507,J0811.0+1644,RXC J0811.0+1644  ,A0635                                                 ,122.76,16.735,0.0925,1.0142
508,J0811.1+7002,RXC J0811.1+7002  ,A0621                                                 ,122.783,70.039,0.223,4.8364
509,J0812.5-5714,RXC J0812.5-5714  ,                                                      ,123.126,-57.235,0.062,2.9629
510,J0815.4-0308,RXC J0815.4-0308  ,3C 196.1                                              ,123.869,-3.142,0.198,3.3605
511,J0815.9+6253,MS0811.6+6301     ,                                                      ,123.999,62.886,0.312,1.6401
512,J0816.5+7424,MS0810.5+7433     ,                                                      ,124.128,74.404,0.282,1.5644
513,J0817.4-0730,RXC J0817.4-0730  ,A0644                                                 ,124.352,-7.513,0.0704,3.8772
514,J0818.2+0122,RXC J0818.2+0122  ,                                                      ,124.557,1.367,0.0879,1.7924
515,J0818.9+5654,RX J0818.9+5654   ,VMF98 48                                              ,124.741,56.909,0.26,0.8135
516,J0819.3+7054,RX J0819.3+7054   ,VMF98 49                                              ,124.844,70.913,0.226,0.6868
517,J0819.6+6336,RXJ0819.6+6336    ,RXJ0819.6+6336                                        ,124.913,63.61,0.119,2.3468
