,MCXC,OName,AName,RAdeg,DEdeg,z,M500
1328,J1724.7+6716,RX J1724.7+6716   ,                                                      ,261.197,67.269,0.254,0.6962
1329,J1726.9-0317,RXC J1726.9-0317  ,                                                      ,261.744,-3.295,0.088,1.8664
1330,J1727.4+7035,RX J1727.4+7035   ,                                                      ,261.858,70.594,0.3059,2.2352
1331,J1728.6+7041,RX J1728.6+7041   ,                                                      ,262.165,70.685,0.5509,2.8569
1332,J1729.0+7440,BVH2007 213       ,VMF98 194                                             ,262.253,74.678,0.213,0.8885
1333,J1730.4+7422,RXC J1730.4+7422  ,                                                      ,262.621,74.375,0.11,1.1791
1334,J1731.6+2251,MACSJ1731.6+2252  ,                                                      ,262.913,22.864,0.389,12.8
1335,J1733.0+4345,RXC J1733.0+4345  ,IC 1262                                               ,263.261,43.763,0.0307,0.8593
1336,J1735.0+6406,RXC J1735.0+6406  ,A2276                                                 ,263.772,64.102,0.1406,1.8453
1337,J1735.7-0721,RXC J1735.7-0721  ,                                                      ,263.949,-7.362,0.0239,0.6151
1338,J1735.9+1659,RXC J1735.9+1659  ,                                                      ,263.976,16.994,0.0858,1.0113
1339,J1736.3+6803,RXC J1736.3+6803  ,Zw 1745.6+6703                                        ,264.092,68.057,0.0248,0.2392
1340,J1740.5+3538,RXC J1740.5+3538  ,RXJ1740.5+3539                                        ,265.136,35.647,0.0428,0.9141
1341,J1742.7+6735,RX J1742.7+6735   ,                                                      ,265.695,67.598,0.042,0.2165
1342,J1742.8+3900,RXC J1742.8+3900  ,                                                      ,265.701,39.01,0.0423,0.7743
1343,J1743.3+6440,RX J1743.3+6440   ,                                                      ,265.847,64.672,0.179,1.0301
1344,J1743.4+6341,RX J1743.4+6341   ,                                                      ,265.867,63.694,0.327,2.3779
1345,J1744.2+3259,RXC J1744.2+3259  ,Zw 1742.1+3306                                        ,266.062,32.99,0.0757,3.2372
1346,J1745.2+6556,RX J1745.2+6556   ,                                                      ,266.318,65.938,0.608,1.3891
1347,J1746.3+6849,WARP J1746.3+6849W,VMF98 195                                             ,266.579,68.831,0.203,0.7767
1348,J1746.5+6848,WARP J1746.3+6849E,VMF98 195                                             ,266.638,68.814,0.307,0.7791
1349,J1746.7+6639,RX J1746.7+6639   ,                                                      ,266.688,66.656,0.3864,1.0307
1350,J1747.2+4512,RXC J1747.2+4512  ,ZwCl8284                                              ,266.82,45.216,0.1565,2.4118
1351,J1747.5+6343,RX J1747.5+6343   ,                                                      ,266.89,63.732,0.328,1.2009
1352,J1748.6+7020,RX J1748.6+7020   ,                                                      ,267.173,70.342,0.345,1.1852
1353,J1749.0+7014,RX J1749.0+7014   ,                                                      ,267.265,70.245,0.579,2.6983
1354,J1749.3+4245,RXC J1749.3+4245  ,                                                      ,267.341,42.762,0.2296,2.5705
1355,J1749.6+5334,RXC J1749.6+5334  ,                                                      ,267.422,53.579,0.0909,1.0459
1356,J1749.8+6823,RX J1749.8+6823   ,                                                      ,267.457,68.387,0.0508,0.1182
1357,J1750.2+3504,RXC J1750.2+3504  ,RXJ1750.2+3505                                        ,267.569,35.082,0.1712,3.6434
1358,J1751.1+6531,BVH2007 215       ,NGC6505                                               ,267.786,65.533,0.0428,0.1943
1359,J1751.5+7013,RX J1751.5+7013   ,                                                      ,267.878,70.226,0.4925,1.633
1360,J1751.6+6719,BVH2007 216       ,                                                      ,267.911,67.322,0.0933,0.6135
1361,J1751.7+2304,RXC J1751.7+2304  ,NGC 6482                                              ,267.948,23.07,0.0132,0.1879
1362,J1752.0-6348,RXC J1752.0-6348  ,                                                      ,268.023,-63.816,0.133,3.4995
1363,J1752.2+6522,RX J1752.2+6522   ,                                                      ,268.05,65.373,0.3923,0.8809
1364,J1753.4+5205,RXC J1753.4+5205  ,A2286                                                 ,268.374,52.092,0.0988,0.9785
1365,J1754.0+5805,RXC J1754.0+5805  ,A2289                                                 ,268.509,58.089,0.2263,2.7575
1366,J1754.0+6452,RX J1754.0+6452   ,                                                      ,268.522,64.867,0.246,0.5881
1367,J1754.5+6904,RX J1754.5+6904   ,                                                      ,268.646,69.083,0.5113,1.2281
1368,J1754.6+6803,RXC J1754.6+6803  ,Zw 1754.5+6807                                        ,268.665,68.056,0.077,1.4102
1369,J1754.7+6623,RX J1754.7+6623   ,                                                      ,268.69,66.398,0.0879,0.2551
1370,J1755.3+6504,RX J1755.3+6504   ,                                                      ,268.833,65.082,0.0846,0.1998
1371,J1755.7+6752,RX J1755.7+6752   ,                                                      ,268.94,67.878,0.0833,0.6477
1372,J1755.8+6236,RXC J1755.8+6236  ,NGC 6521                                              ,268.956,62.613,0.0266,0.3104
1373,J1755.9+6314,RX J1755.9+6314   ,                                                      ,268.985,63.234,0.385,1.5159
1374,J1756.5+6513,RX J1756.5+6513   ,                                                      ,269.129,65.217,0.0284,0.0674
1375,J1757.3+6631,RX J1757.3+6631   ,                                                      ,269.332,66.527,0.6909,1.0879
1376,J1757.7-0108,RXC J1757.7-0108  ,                                                      ,269.43,-1.143,0.0728,2.0762
1377,J1758.9+6520,RX J1758.9+6520   ,                                                      ,269.74,65.349,0.3652,0.6654
1378,J1759.0-1333,RXC J1759.0-1333  ,                                                      ,269.762,-13.554,0.045,1.6325
1379,J1759.2+6902,RX J1759.2+6902   ,                                                      ,269.823,69.039,0.0994,0.2595
1380,J1800.5+6913,RXC J1800.5+6913  ,A2295                                                 ,270.128,69.224,0.0823,0.9997
1381,J1802.4-5236,RXC J1802.4-5236  ,                                                      ,270.622,-52.609,0.125,2.9264
1382,J1802.7+4247,RXC J1802.7+4247  ,                                                      ,270.681,42.796,0.0502,0.4271
1383,J1802.9+6339,RX J1802.9+6339   ,                                                      ,270.725,63.653,0.0907,0.1563
1384,J1804.1+0042,RXC J1804.1+0042  ,                                                      ,271.045,0.706,0.0882,2.949
1385,J1804.2+6729,RX J1804.2+6729   ,                                                      ,271.065,67.489,0.0617,0.078
1386,J1804.4+1002,RXC J1804.4+1002  ,                                                      ,271.119,10.039,0.1525,4.6293
1387,J1806.1+6813,RX J1806.1+6813   ,                                                      ,271.527,68.219,0.303,1.2736
1388,J1806.4+7028,RX J1806.4+7028   ,                                                      ,271.604,70.478,0.0971,0.4665
1389,J1806.9+6537,BVH2007 217       ,                                                      ,271.733,65.62,0.263,2.0634
1390,J1807.4+6946,BVH2007 218       ,                                                      ,271.867,69.773,0.0941,0.2978
1391,J1807.5+6429,RX J1807.5+6429   ,                                                      ,271.885,64.488,0.2391,0.5906
1392,J1808.7+6557,RX J1808.7+6557   ,                                                      ,272.182,65.951,0.246,0.5266
1393,J1809.0-0414,RXC J1809.0-0414  ,                                                      ,272.255,-4.244,0.305,6.3125
1394,J1811.0+4954,RXC J1811.0+4954  ,ZwCl8338                                              ,272.75,49.911,0.0501,1.3478
1395,J1811.3+6447,RX J1811.3+6447   ,                                                      ,272.83,64.793,0.451,1.5373
1396,J1812.0+3113,WARP J1812.0+3113 ,                                                      ,273.007,31.22,0.2246,0.6464
1397,J1812.1+6353,RX J1812.1+6353   ,                                                      ,273.035,63.893,0.5408,2.0796
1398,J1813.1+6230,RX J1813.1+6230   ,                                                      ,273.298,62.509,0.1829,0.6347
1399,J1813.3-6127,RXC J1813.3-6127  ,PMN J1813-6126                                        ,273.328,-61.458,0.147,4.4728
1400,J1814.2+6939,RXC J1814.2+6939  ,A2301                                                 ,273.574,69.659,0.0863,0.6951
1401,J1816.4+5314,RXC J1816.4+5314  ,                                                      ,274.112,53.238,0.2764,3.045
1402,J1816.5+6911,RX J1816.5+6911   ,                                                      ,274.135,69.193,0.2097,0.6573
1403,J1817.1+7024,RX J1817.1+7024   ,                                                      ,274.285,70.404,0.0859,0.304
1404,J1817.7+6824,RX J1817.7+6824   ,                                                      ,274.442,68.407,0.282,2.5934
1405,J1819.1+6909,BVH2007 219       ,                                                      ,274.792,69.161,0.205,1.0729
1406,J1819.8+6748,RX J1819.8+6748   ,                                                      ,274.953,67.813,0.2153,0.6833
1407,J1819.8+3307,RXC J1819.8+3307  ,                                                      ,274.967,33.133,0.2796,2.9785
1408,J1820.1+6857,RXC J1820.1+6857  ,A2304                                                 ,275.044,68.955,0.087,1.0767
1409,J1821.6+6827,RX J1821.6+6827   ,                                                      ,275.409,68.464,0.8156,2.1004
1410,J1822.6+6641,RX J1822.6+6641   ,                                                      ,275.656,66.691,0.0888,0.2571
1411,J1823.7+5658,BVH2007 220       ,                                                      ,275.931,56.974,0.105,0.4915
1412,J1824.1+3029,RXC J1824.1+3029  ,NPM1G +30.0453                                        ,276.04,30.492,0.072,1.4197
1413,J1824.3+4309,MACSJ1824.3+4309  ,MCS  J1824.3+4309                                     ,276.079,43.164,0.487,2.8469
1414,J1825.3+3026,RXC J1825.3+3026  ,                                                      ,276.345,30.442,0.065,2.6168
1415,J1827.2+6134,RXC J1827.2+6134  ,                                                      ,276.817,61.582,0.1014,1.1746
1416,J1829.0+6913,RX J1829.0+6913   ,                                                      ,277.265,69.231,0.2057,2.0829
1417,J1832.2+6832,RX J1832.2+6832   ,                                                      ,278.055,68.541,0.1981,0.8186
1418,J1832.5+6449,RXC J1832.5+6449  ,                                                      ,278.14,64.831,0.1623,2.0753
1419,J1832.5+6848,RXC J1832.5+6848  ,                                                      ,278.144,68.803,0.205,3.8795
1420,J1833.7+6521,RX J1833.7+6521   ,                                                      ,278.436,65.36,0.1621,0.8494
1421,J1834.1+7057,RXC J1834.1+7057  ,A2308                                                 ,278.539,70.958,0.0824,1.0583
1422,J1836.5+6344,RXJ1836.5+6344    ,RXJ1836.5+6344                                        ,279.127,63.748,0.0834,1.2909
1423,J1838.2+6321,RX J1838.2+6321   ,                                                      ,279.552,63.351,0.2167,1.3402
1424,J1839.2+7018,RX J1839.2+7018   ,                                                      ,279.823,70.306,0.2297,0.8067
1425,J1839.8-2108,RXC J1839.8-2108  ,                                                      ,279.973,-21.144,0.068,1.3613
1426,J1840.6-7709,RXCJ1840.6-7709   ,                                                      ,280.155,-77.156,0.0194,0.541
1427,J1843.5+7949,BVH2007 NS 23     ,MS1846.9+7947                                         ,280.878,79.832,0.051,0.2291
1428,J1843.6+5021,RXC J1843.6+5021  ,                                                      ,280.913,50.364,0.1158,1.6858
1429,J1844.0+4533,RXC J1844.0+4533  ,RXJ1844.1+4533                                        ,281.008,45.557,0.0918,1.5813
1430,J1844.5-3724,RXC J1844.5-3724  ,CGMW 4-2867                                           ,281.132,-37.405,0.203,3.7241
1431,J1846.7-7431,BVH2007 221       ,                                                      ,281.678,-74.533,0.141,0.9689
1432,J1847.2+7320,RXC J1847.2+7320  ,A2310                                                 ,281.817,73.347,0.1125,1.6911
1433,J1847.3-6320,RXCJ1847.3-6320   ,S0805                                                 ,281.833,-63.337,0.0146,0.2601
1434,J1852.1+5711,RXC J1852.1+5711  ,RXJ1852.1+5711                                        ,283.039,57.197,0.1094,1.9473
1435,J1853.9+6822,RXC J1853.9+6822  ,A2312                                                 ,283.492,68.381,0.0928,2.0411
1436,J1854.1+6858,RXC J1854.1+6858  ,                                                      ,283.527,68.971,0.2415,2.9137
1437,J1855.8-6654,RXCJ1855.8-6654   ,                                                      ,283.972,-66.913,0.1797,3.3117
1438,J1857.6+3800,RXC J1857.6+3800  ,                                                      ,284.415,38.008,0.0567,1.8114
1439,J1900.4+6958,RXC J1900.4+6958  ,A2315                                                 ,285.12,69.969,0.0877,1.8375
1440,J1904.2+3626,RXC J1904.2+3626  ,MG2 J190411+3627                                      ,286.055,36.447,0.078,1.2366
1441,J1905.7+7804,A2318             ,A2318                                                 ,286.433,78.083,0.1405,3.437
1442,J1908.3+6903,RXC J1908.3+6903  ,A2317                                                 ,287.1,69.062,0.2103,2.7969
1443,J1910.1-2239,RXC J1910.1-2239  ,CGMW 3-3366                                           ,287.537,-22.651,0.056,1.0468
1444,J1910.4+6741,RXC J1910.4+6741  ,MS 1910.5+6736                                        ,287.614,67.691,0.2471,3.6878
1445,J1912.6-7517,RXCJ1912.6-7517   ,S0810                                                 ,288.168,-75.292,0.0726,2.1539
1446,J1916.1+3525,RXC J1916.1+3525  ,                                                      ,289.027,35.422,0.209,4.7777
1447,J1917.5-1315,RXC J1917.5-1315  ,TXS 1914-133                                          ,289.399,-13.255,0.177,4.1139
1448,J1918.5-0842,RXC J1918.5-0842  ,CGMW 3-3640                                           ,289.631,-8.708,0.09,1.5296
1449,J1921.1+4357,RXC J1921.1+4357  ,A2319                                                 ,290.287,43.958,0.0557,5.8345
1450,J1925.3+3705,RXC J1925.3+3705  ,                                                      ,291.343,37.097,0.314,6.7932
1451,J1925.4-4256,RXCJ1925.4-4256   ,A3638                                                 ,291.373,-42.949,0.0774,1.8585
1452,J1926.1+4832,RXC J1926.1+4833  ,                                                      ,291.545,48.55,0.098,2.3419
1453,J1926.9-5342,RXCJ1926.9-5342   ,                                                      ,291.743,-53.703,0.057,1.4895
1454,J1927.5+6549,RXC J1927.5+6549  ,                                                      ,291.876,65.832,0.1886,2.3064
1455,J1928.2-5055,RXCJ1928.2-5055   ,A3639                                                 ,292.059,-50.93,0.1496,2.8527
1456,J1930.0-1509,RXC J1930.0-1509  ,                                                      ,292.507,-15.163,0.0829,2.1301
1457,J1930.1+7403,WARP J1930.5+7403W,                                                      ,292.548,74.06,0.291,0.9863
1458,J1931.6-3354,RXCJ1931.6-3354   ,                                                      ,292.911,-33.913,0.0972,2.3806
1459,J1931.8-2634,MACSJ1931.8-2634  ,MCS  J1931.8-2635                                     ,292.957,-26.576,0.352,5.9238
1460,J1934.7-5053,RXCJ1934.7-5053   ,S0821                                                 ,293.697,-50.897,0.2371,4.9694
1461,J1935.3+6734,RXC J1935.3+6734  ,                                                      ,293.834,67.576,0.1706,2.2605
1462,J1938.3+5409,RXC J1938.3+5409  ,                                                      ,294.578,54.159,0.26,6.0024
1463,J1938.3-4748,RXCJ1938.3-4748   ,                                                      ,294.581,-47.804,0.2665,4.8355
1464,J1941.7+7709,WARP J1941.2+7709E,                                                      ,295.429,77.162,0.048,0.0751
1465,J1946.5-4256,RXCJ1946.5-4256   ,S0827                                                 ,296.643,-42.942,0.1128,1.8573
1466,J1947.3-7623,RXCJ1947.3-7623   ,                                                      ,296.83,-76.392,0.217,4.408
1467,J1947.6-0542,RXC J1947.6-0542  ,CGMW 3-4849                                           ,296.914,-5.704,0.028,0.3693
1468,J1948.3+5113,RXC J1948.3+5113  ,                                                      ,297.08,51.231,0.185,3.6363
1469,J1952.2-5503,RXCJ1952.2-5503   ,A3651                                                 ,298.069,-55.062,0.06,1.4748
1470,J1953.0-5201,RXCJ1953.0-5201   ,A3653                                                 ,298.254,-52.031,0.1069,2.5013
1471,J1957.2+5751,RXC J1957.2+5751  ,ZwCl 1956.0+5746                                      ,299.308,57.854,0.088,1.6906
1472,J1958.2-3011,RXCJ1958.2-3011   ,                                                      ,299.561,-30.19,0.1171,4.1184
1473,J1959.1-3454,RXCJ1959.1-3454   ,A3654                                                 ,299.794,-34.91,0.1728,3.067
1474,J1959.5+4044,RXC J1959.5+4044  ,Cygnus A                                              ,299.876,40.736,0.0561,4.2185
1475,J2002.6+7753,WARP J2002.6+7753 ,                                                      ,300.66,77.896,0.3492,2.4943
1476,J2003.2-3247,BVH2007 222       ,                                                      ,300.805,-32.792,0.256,1.3585
1477,J2003.4-5556,BVH2007 223       ,"VMF98 196, S0840                                      ",300.868,-55.946,0.0148,0.0652
1478,J2003.5-2323,RXCJ2003.5-2323   ,                                                      ,300.877,-23.385,0.3171,5.8255
1479,J2009.0-5421,RXCJ2009.0-5421   ,S0849                                                 ,302.267,-54.358,0.0516,0.772
1480,J2009.9-4823,RXCJ2009.9-4823   ,S0851                                                 ,302.476,-48.393,0.0097,0.1374
1481,J2009.9+7744,WARP J2009.9+7744 ,                                                      ,302.476,77.742,0.3461,1.2647
1482,J2011.3-5725,RXCJ2011.3-5725   ,                                                      ,302.846,-57.428,0.2786,5.1735
1483,J2011.8-3555,BVH2007 224       ,                                                      ,302.972,-35.928,0.172,0.785
1484,J2012.0-4129,RXCJ2012.0-4129   ,A3668                                                 ,303.013,-41.492,0.1496,3.0302
1485,J2012.5-5649,RXCJ2012.5-5649   ,A3667                                                 ,303.127,-56.832,0.0556,5.1696
1486,J2014.2-8038,RXCJ2014.2-8038   ,A3664                                                 ,303.556,-80.642,0.138,2.5189
1487,J2014.8-2430,RXCJ2014.8-2430   ,                                                      ,303.707,-24.508,0.1612,7.1884
1488,J2015.3+5609,RXC J2015.3+5609  ,                                                      ,303.828,56.159,0.082,1.5725
1489,J2016.2-8047,RXCJ2016.2-8047   ,A3666                                                 ,304.059,-80.799,0.1309,2.249
1490,J2018.4-4102,RXCJ2018.4-4102   ,IC4992                                                ,304.607,-41.047,0.0192,0.2804
1491,J2018.7-5242,RXCJ2018.7-5242   ,S0861                                                 ,304.69,-52.706,0.0505,1.5771
1492,J2020.8-3002,RXCJ2020.8-3002   ,A3674                                                 ,305.208,-30.034,0.2073,3.6611
1493,J2021.9-5256,RXCJ2021.9-5256   ,A3675                                                 ,305.478,-52.948,0.1383,2.3826
1494,J2023.0-2056,RXCJ2023.0-2056   ,S0868                                                 ,305.757,-20.949,0.0564,1.1821
1495,J2023.4-5535,RXCJ2023.4-5535   ,                                                      ,305.852,-55.592,0.232,4.396
1496,J2030.7-3532,RXCJ2030.7-3532   ,                                                      ,307.7,-35.544,0.1398,2.417
1497,J2031.8-4037,RXCJ2031.8-4037   ,                                                      ,307.965,-40.62,0.3416,6.624
1498,J2032.1-5627,RXCJ2032.1-5627   ,A3685                                                 ,308.037,-56.452,0.138,2.5682
1499,J2034.3-3429,RXCJ2034.3-3429   ,A3693                                                 ,308.581,-34.487,0.124,2.4943
1500,J2034.7-3404,RXCJ2034.7-3404   ,A3694                                                 ,308.675,-34.074,0.0936,2.7443
1501,J2034.7-3548,RXCJ2034.7-3548   ,A3695                                                 ,308.699,-35.813,0.0894,3.7297
1502,J2034.9-2143,RXCJ2034.9-2143   ,                                                      ,308.733,-21.717,0.1947,3.4979
1503,J2035.7-2513,RXCJ2035.7-2513   ,A3698                                                 ,308.935,-25.218,0.02,0.2042
1504,J2036.6-2247,WARP J2036.6-2247 ,                                                      ,309.166,-22.789,0.18,0.9472
1505,J2038.4-0125,RX J2038.4-0125   ,WARPS J2038.4-0125                                    ,309.622,-1.421,0.673,1.8072
1506,J2040.1+1712,RXC J2040.1+1712  ,                                                      ,310.048,17.214,0.169,5.5278
1507,J2041.7+0721,RXC J2041.7+0721  ,                                                      ,310.425,7.357,0.0639,0.4838
1508,J2042.1+2426,RXC J2042.1+2426  ,                                                      ,310.529,24.441,0.1019,3.8223
1509,J2043.2-2144,RXCJ2043.2-2144   ,                                                      ,310.803,-21.735,0.2041,4.0556
1510,J2043.2-2629,RXCJ2043.2-2629   ,S0894                                                 ,310.81,-26.49,0.0408,0.6927
1511,J2048.1-1750,RXCJ2048.1-1750   ,A2328                                                 ,312.044,-17.844,0.1475,3.6443
1512,J2048.6+2515,RXC J2048.6+2515  ,                                                      ,312.172,25.253,0.0482,1.272
1513,J2049.9-3216,MACSJ2049.9-3217  ,                                                      ,312.48,-32.28,0.323,6.6
1514,J2050.7+0123,RXC J2050.7+0123  ,                                                      ,312.69,1.389,0.3334,3.6065
1515,J2051.1+0216,RXC J2051.1+0216  ,                                                      ,312.781,2.268,0.3211,4.0631
1516,J2051.6-5704,BVH2007 225       ,                                                      ,312.911,-57.073,0.0599,0.1734
1517,J2055.8-5455,RXCJ2055.8-5455   ,A3718                                                 ,313.965,-54.92,0.139,3.0097
1518,J2056.3-0437,MS2053.7-0449     ,                                                      ,314.091,-4.631,0.583,2.0962
1519,J2057.5+1334,RXC J2057.5+1334  ,                                                      ,314.389,13.571,0.2232,1.9567
1520,J2058.2-0745,RXCJ2058.2-0745   ,A2331                                                 ,314.563,-7.761,0.0793,1.2723
1521,J2059.9-4245,RX J2059.9-4245   ,VMF98 199                                             ,314.98,-42.759,0.323,1.0983
1522,J2101.4-4100,RXCJ2101.4-4100   ,S0915                                                 ,315.367,-41.002,0.1694,2.9774
1523,J2101.5-1317,RXCJ2101.5-1317   ,                                                      ,315.395,-13.292,0.0282,0.4473
1524,J2101.8-2802,RXCJ2101.8-2802   ,A3733                                                 ,315.453,-28.035,0.0382,0.9229
1525,J2102.1-2431,RXCJ2102.1-2431   ,RBS 1712                                              ,315.541,-24.531,0.188,4.4993
1526,J2103.4-4319,RXCJ2103.4-4319   ,A3736                                                 ,315.858,-43.329,0.0487,0.8373
1527,J2103.8+0437,RXC J2103.8+0437  ,                                                      ,315.961,4.626,0.1694,1.3241
1528,J2104.3-4120,RXCJ2104.3-4120   ,A3739                                                 ,316.084,-41.349,0.1651,4.1199
1529,J2104.9+1401,RXC J2104.9+1401  ,ZwCl8484                                              ,316.226,14.028,0.1615,2.8953
1530,J2104.9-5149,RXCJ2104.9-5149   ,                                                      ,316.228,-51.826,0.0491,1.3227
1531,J2104.9-8243,RXCJ2104.9-8243   ,A3728                                                 ,316.245,-82.723,0.0969,1.5506
1532,J2106.0-3846,RXCJ2106.0-3846   ,A3740                                                 ,316.518,-38.772,0.1521,3.1625
1533,J2106.2+3426,RXC J2106.2+3426  ,                                                      ,316.568,34.44,0.087,1.4955
1534,J2106.8-0509,RX J2106.8-0510   ,                                                      ,316.705,-5.165,0.449,2.6117
1535,J2107.2-2526,RXCJ2107.2-2526   ,A3744                                                 ,316.801,-25.438,0.0381,0.6763
1536,J2108.6-0507,WARP J2108.6-0507 ,                                                      ,317.166,-5.124,0.222,0.4039
1537,J2108.8-0516,RX J2108.8-0516   ,VMF98 200                                             ,317.213,-5.28,0.319,1.1
1538,J2111.6-2308,RXCJ2111.6-2308   ,AM2108                                                ,317.916,-23.15,0.0333,0.3678
1539,J2113.8+0233,RXC J2113.8+0233  ,IC 1365                                               ,318.474,2.556,0.0494,1.6418
1540,J2114.3-6800,BVH2007 226       ,VMF98 201                                             ,318.582,-68.016,0.13,0.6298
1541,J2116.8-5929,RXCJ2116.8-5929   ,S0927                                                 ,319.202,-59.498,0.0602,1.0991
1542,J2124.3-7446,RXCJ2124.3-7446   ,                                                      ,321.095,-74.774,0.0586,1.1736
1543,J2125.2-0657,RXCJ2125.2-0657   ,                                                      ,321.302,-6.965,0.1153,1.91
1544,J2125.9-3443,RXCJ2125.9-3443   ,A3764                                                 ,321.479,-34.724,0.0757,1.0787
1545,J2127.1-1209,RXCJ2127.1-1209   ,A2345                                                 ,321.796,-12.159,0.176,4.1441
1546,J2127.4-2154,MS2124.7-2206     ,                                                      ,321.875,-21.903,0.113,1.3859
1547,J2129.4-0741,MACSJ2129.4-0741  ,MCS  J2129.4-0741                                     ,322.358,-7.692,0.594,7.6632
1548,J2129.6+0005,RXC J2129.6+0005  ,RXJ2129.6+0005                                        ,322.419,0.097,0.2347,7.0455
1549,J2129.8-5048,RXCJ2129.8-5048   ,A3771                                                 ,322.462,-50.801,0.0796,1.6143
1550,J2133.4-7156,RXCJ2133.4-7156   ,                                                      ,323.351,-71.936,0.0559,0.7945
1551,J2134.2-1328,RXCJ2134.2-1328   ,A2351                                                 ,323.569,-13.48,0.0897,2.746
1552,J2135.2+0125,RXCJ2135.2+0125   ,A2355                                                 ,323.822,1.432,0.1244,2.509
1553,J2137.1+0026,BVH2007 227       ,VMF98 202                                             ,324.279,0.447,0.0509,0.2117
1554,J2137.8-4251,BVH2007 228       ,A3791                                                 ,324.463,-42.852,0.185,1.4187
1555,J2139.0-2333,BVH2007 NS 24     ,                                                      ,324.77,-23.552,0.32,2.6267
1556,J2139.8-2228,RXCJ2139.8-2228   ,S0963                                                 ,324.966,-22.473,0.0328,0.4378
1557,J2139.9-4305,RX J2139.9-4305   ,VMF98 203                                             ,324.994,-43.087,0.376,1.0856
1558,J2140.2-2339,MACSJ2140.2-2339  ,MS2137.3-2353                                         ,325.063,-23.661,0.313,4.7
1559,J2143.9-5637,RXCJ2143.9-5637   ,APMCC 699                                             ,325.993,-56.626,0.0824,2.6504
1560,J2145.2+0344,MS2142.7+0330     ,                                                      ,326.31,3.742,0.239,1.5196
1561,J2145.9-1006,RXCJ2145.9-1006   ,A2377                                                 ,326.478,-10.104,0.0808,2.0336
1562,J2146.0+0423,RX J2146.0+0423   ,VMF98 204                                             ,326.52,4.389,0.531,2.0147
1563,J2146.3-5717,RXCJ2146.3-5717   ,A3806                                                 ,326.587,-57.289,0.076,1.8407
1564,J2146.9-4354,RXCJ2146.9-4354   ,A3809                                                 ,326.741,-43.91,0.062,1.7255
1565,J2147.0-1019,RXCJ2147.0-1019   ,                                                      ,326.752,-10.318,0.078,1.2325
1566,J2147.9-4600,RXCJ2147.9-4600   ,S0974                                                 ,326.981,-46.005,0.0593,1.3764
1567,J2149.1-3041,RXCJ2149.1-3041   ,A3814                                                 ,327.281,-30.699,0.1184,2.9219
1568,J2151.3-5521,RXCJ2151.3-5521   ,                                                      ,327.845,-55.353,0.0385,0.5065
1569,J2151.4+1347,RXC J2151.4+1347  ,                                                      ,327.859,13.798,0.2076,3.1093
1570,J2151.8-1543,RXCJ2151.8-1543   ,A2382                                                 ,327.97,-15.717,0.0614,1.0608
1571,J2152.2-1942,RXCJ2152.2-1942   ,A2384 (B)                                             ,328.059,-19.705,0.0963,1.8696
1572,J2152.4-1933,RXCJ2152.4-1933   ,A2384 (A)                                             ,328.1,-19.565,0.0943,2.6137
1573,J2153.5+1741,RXC J2153.5+1741  ,A2390                                                 ,328.398,17.687,0.2329,8.9525
1574,J2154.1-5751,RXCJ2154.1-5751   ,A3822                                                 ,328.538,-57.855,0.076,3.0499
1575,J2154.2-0400,RXCJ2154.2-0400   ,A2389                                                 ,328.55,-4.005,0.1509,2.7138
1576,J2155.6+1232,RXC J2155.6+1232  ,A2396                                                 ,328.92,12.534,0.192,3.6665
1577,J2155.9+0109,RX J2155.9+0109   ,                                                      ,328.997,1.151,0.219,0.5977
1578,J2156.4+3318,RXC J2156.4+3318  ,                                                      ,329.103,33.31,0.078,2.734
1579,J2157.4-0747,RXCJ2157.4-0747   ,A2399                                                 ,329.357,-7.795,0.0579,1.2033
1580,J2158.3-2006,RXCJ2158.3-2006   ,A2401                                                 ,329.584,-20.104,0.057,0.8978
1581,J2158.4-6023,RXCJ2158.4-6023   ,A3825                                                 ,329.613,-60.4,0.075,2.0015
1582,J2158.5-0948,RXCJ2158.5-0948   ,A2402                                                 ,329.627,-9.808,0.0809,1.787
1583,J2200.8+2058,RXC J2200.8+2058  ,A2409                                                 ,330.22,20.971,0.147,4.6339
1584,J2201.8-2226,RXCJ2201.8-2226   ,S0987                                                 ,330.462,-22.444,0.0691,1.4571
1585,J2201.9-5956,RXCJ2201.9-5956   ,A3827                                                 ,330.483,-59.949,0.098,4.589
1586,J2202.0-0949,RXCJ2202.0-0949   ,A2410                                                 ,330.524,-9.825,0.0809,1.7883
1587,J2202.7-1902,RX J2202.7-1902   ,VMF98 205                                             ,330.687,-19.036,0.438,1.1006
1588,J2203.8-2130,RXC J2203.8-2130  ,                                                      ,330.961,-21.509,0.0732,0.9762
1589,J2205.6-0535,RXCJ2205.6-0535   ,A2415                                                 ,331.419,-5.593,0.0582,2.0925
1590,J2209.3-5148,RXCJ2209.3-5148   ,A3836                                                 ,332.347,-51.815,0.1065,2.485
1591,J2210.3-1210,RXCJ2210.3-1210   ,A2420                                                 ,332.582,-12.176,0.0846,3.5139
1592,J2211.7-0349,MACSJ2211.7-0349  ,                                                      ,332.941,-3.828,0.397,18.1
1593,J2212.6-1713,RX J2212.6-1713   ,VMF98 206                                             ,333.159,-17.232,0.134,0.2437
1594,J2213.0-2753,RXCJ2213.0-2753   ,                                                      ,333.272,-27.9,0.061,0.9258
1595,J2213.5-1656,BVH2007 229       ,VMF98 207                                             ,333.377,-16.935,0.297,1.3207
