,NAME,RA,DEC,Z_LAMBDA,LAMBDA,S,Z_SPEC,IMAG,MODEL_MAG_U,MODEL_MAG_G,MODEL_MAG_R,MODEL_MAG_I,MODEL_MAG_Z,ILUM
17555,RMJ230135.1+003713.0,345.39612682219035,0.6202755780313376,0.4355601,33.107506,1.3715103,0.43136707,0.0,22.50787,20.983429,19.058006,18.244106,17.816435,19.114847
17557,RMJ082215.9+004537.0,125.56632418389773,0.7602737384213322,0.54818654,57.210365,2.4977105,-1.0,0.0,23.60768,22.348337,20.613613,19.620884,19.39305,24.400015
17560,RMJ231234.7+243920.9,348.14453492097715,24.655814152743318,0.42124093,41.29943,1.453939,-1.0,0.0,22.315113,20.720827,18.917477,18.224783,17.852974,25.832333
17561,RMJ021547.8-055814.6,33.94935111196824,-5.970722529704321,0.41874284,36.12799,1.2292557,0.40224826,0.0,22.808544,21.164385,19.254595,18.553059,18.03124,25.940224
17562,RMJ084235.5+283122.4,130.64783587741687,28.522895807903524,0.43869913,38.034866,1.4001392,-1.0,0.0,26.073454,20.673283,19.02229,18.29207,17.910593,22.452866
17563,RMJ112216.6+122135.0,170.5690002528841,12.359724820122045,0.4289897,34.434692,1.3411525,0.44642785,0.0,21.994484,20.990273,19.256096,18.544891,18.130634,26.498009
17570,RMJ135034.5+392702.5,207.64380974430918,39.45069385428596,0.48701927,51.337204,1.6139512,0.4655823,0.0,23.01289,21.142797,19.650984,18.883207,18.493551,29.13447
17572,RMJ091722.9+095654.9,139.34540473372743,9.948581586762845,0.48910397,40.307854,1.7155101,-1.0,0.0,25.072737,21.73201,19.695658,18.639803,18.33043,26.793915
17573,RMJ084903.0+634026.3,132.262327725748,63.67395947263655,0.49657205,47.79805,2.0395725,-1.0,0.0,23.198599,21.613655,19.977713,19.031927,18.637386,24.685
17574,RMJ131246.4+230214.0,198.19345324100317,23.037211188382123,0.47886953,40.185814,1.639795,0.5101662,0.0,22.741785,22.082003,20.061441,19.100122,18.755865,23.177053
17575,RMJ024034.5-043854.7,40.14365540437907,-4.648519955202194,0.5323742,47.15734,2.2273142,-1.0,0.0,22.3379,21.907326,20.138323,19.169,18.738634,25.788202
17576,RMJ020237.5-074055.6,30.65630795797172,-7.682124590214789,0.47924474,45.952194,1.8690275,0.48010808,0.0,22.29321,21.115664,19.36983,18.555292,18.145498,22.154545
17577,RMJ234255.4+044609.6,355.7307526552834,4.769321131728248,0.48225266,44.030067,2.0164616,0.45790547,0.0,27.153011,21.184849,19.728142,18.81595,18.478685,29.546268
17579,RMJ011526.3-092614.0,18.859468396288378,-9.437215890856153,0.44811505,33.671944,1.5313691,-1.0,0.0,26.08938,21.381897,19.570377,18.765713,18.394709,20.01735
17581,RMJ023752.9+050027.8,39.47042995033637,5.007727102274361,0.49369285,38.278946,1.8204411,-1.0,0.0,26.132801,21.040976,19.21426,18.268663,17.839003,22.651989
17582,RMJ085154.0+283256.3,132.9750867710644,28.54897998034021,0.5143798,52.572853,2.150143,-1.0,0.0,25.91232,21.328527,19.62722,18.657436,18.245626,29.395857
17584,RMJ142727.1+033426.5,216.86298567223724,3.574018273795945,0.5590944,59.80371,2.8438356,-1.0,0.0,23.660763,26.611666,20.049273,19.0556,18.411676,27.152409
17586,RMJ151633.5+340931.0,229.1397100642647,34.15861633077208,0.37108788,30.346357,1.0202074,0.38981843,0.0,22.966131,21.078875,19.141188,18.495665,18.168262,20.623146
